method,t_h,x_m,z_m,u_m_s,w_m_s,m_kg,a,c,C_D,Re,S_i,η,R,driving_factor,m_dot
BDF,0.0,2000.0,10000.0,0.0,0.6,9.35543168008114e-10,5.11000000018831e-05,0.0001022000000037662,11.326125764856016,2.0787992089591243,1.0310394228632764,1.1,0.008835241717813589,0.022204181145462847,3.420956429823519e-14
BDF,0.16666666666666666,1965.0996419979458,10022.598500575723,-0.11298258348884134,0.034392332494127556,9.548095153380405e-10,5.1459289382373577e-05,0.00010291857876474715,11.170790245101058,2.1119896407684653,1.028284980735983,1.1,0.008899426556300051,0.019385554179683018,3.012376341917315e-14
BDF,0.3333333333333333,1868.1329287256256,10041.469140907915,-0.20733736051954496,0.028638925090729187,9.718150371220822e-10,5.177242707255734e-05,0.00010354485414511467,11.0377333085495,2.141270668228891,1.0259832387161791,1.1,0.008955409691173534,0.017027829025005603,2.6659615378416153e-14
BDF,0.5,1719.510772222646,10057.104016946261,-0.2855131523009251,0.023585339828765196,9.869120323726882e-10,5.204737751248877e-05,0.00010409475502497754,10.922374440051977,2.1673192786774904,1.024075023710753,1.1,0.00900462240440968,0.015070401306343306,2.3752904767033633e-14
BDF,0.6666666666666666,1528.357106741607,10069.88647347921,-0.34942670664911757,0.019110466189295624,1.0004192935410044e-09,5.2291010746267074e-05,0.00010458202149253415,10.820972461509538,2.190743141014851,1.022514164897745,1.1,0.009048300987202494,0.013465863910542443,2.13517862240798e-14
BDF,0.8333333333333334,1302.741883615865,10080.131193046082,-0.40065145922419837,0.01510795758082543,1.0126264447569984e-09,5.250931592557752e-05,0.00010501863185115505,10.73043854307654,2.2120866198501647,1.021262682570287,1.1,0.009087523641390543,0.01217515892889653,1.9411571404728635e-14
BDF,1.0,1049.8714971347918,10088.092170530883,-0.44045740638777736,0.01148359578782646,1.023798210342022e-09,5.270757403495613e-05,0.00010541514806991225,10.648172992538873,2.2318431088463306,1.020289868914882,1.1,0.009123242086542565,0.011166626828339483,1.7895003552052673e-14
BDF,1.1666666666666667,776.2827576869938,10093.97046039332,-0.46984984143364716,0.008152740321738352,1.0341793891191825e-09,5.289051461590154e-05,0.00010578102923180308,10.57193891462678,2.25046738764448,1.019571380747928,1.1,0.009156310100341673,0.010415070647586407,1.6772104448906527e-14
BDF,1.3333333333333333,487.98403903155804,10097.918769545227,-0.4895923190956503,0.005038351843836053,1.0439990597569163e-09,5.3062437827274836e-05,0.00010612487565454967,10.499770141629527,2.2683859196551,1.019088706001712,1.1,0.009187505841580483,0.009901200160131492,1.602030438449049e-14
BDF,1.5,190.59226870495385,10100.045383101398,-0.500226284531397,0.0020691933501279965,1.0534749629019711e-09,5.3227324157182213e-05,0.00010645464831436443,10.429899156108933,2.2860066990955072,1.0188287030678538,1.1,0.009217551888841732,0.009611151179012048,1.5624481546105703e-14
BDF,1.6666666666666667,-110.53611117198562,10100.417196248296,-0.50208623295167,-0.0008218839192511605,1.0628180662309333e-09,5.338893530524714e-05,0.00010677787061049428,10.360698524311783,2.3037291312639963,1.0187832426494685,1.1,0.009247133680881939,0.009536108968586574,1.5577034887509964e-14
