method,t_h,x_m,z_m,u_m_s,w_m_s,m_kg,a,c,C_D,Re,S_i,η,R,driving_factor,m_dot
LSODA,0.0,2000.0,10000.0,0.0,0.6,9.355431680081138e-10,5.110000000188309e-05,0.00010220000000376618,11.326125764856021,2.078799208959123,1.0310394228632764,1.1,0.008835241717813585,0.022204181145462847,3.4209564298235185e-14
LSODA,0.16666666666666666,1965.0726585843843,10022.597161086835,-0.1129758859596989,0.03439264102064053,9.548086138196466e-10,5.14592726838416e-05,0.0001029185453676832,11.170797070161353,2.111988159275471,1.028285144066024,1.1,0.008899423595415576,0.01938572047060832,3.012401080339943e-14
LSODA,0.3333333333333333,1868.1113411670153,10041.468042061362,-0.20733186622156966,0.02863917197597302,9.71814326993075e-10,5.177241407282022e-05,0.00010354482814564044,11.037738543692145,2.1412695002574154,1.0259833727919976,1.1,0.008955407391196676,0.017027965400800905,2.6659821441937702e-14
LSODA,0.5,1719.5062664963295,10057.103914102772,-0.2855126380559169,0.023585429280213784,9.86911745718947e-10,5.204737231856131e-05,0.00010409474463712262,10.922376714313039,2.1673187589170326,1.0240750362663653,1.1,0.00900462146028653,0.015070414806078783,2.3752922607740045e-14
LSODA,0.6666666666666666,1528.3617950910154,10069.887003818845,-0.3494293583411767,0.01911048005148377,1.0004192247372588e-09,5.229100951083672e-05,0.00010458201902167345,10.82097349017668,2.190742900835417,1.0225141001236742,1.1,0.009048300720402212,0.013465799403271951,2.13516819577058e-14
LSODA,0.8333333333333334,1302.7403216666262,10080.131529581546,-0.40065314188282913,0.01510803134998046,1.0126262123199613e-09,5.250931178554892e-05,0.00010501862357109784,10.730440796776849,2.2120860833835105,1.0212626414522161,1.1,0.009087522857004548,0.012175118595211577,1.941150395248813e-14
LSODA,1.0,1049.866572515778,10088.09245338694,-0.4404588206380918,0.011483700536423265,1.0237978733942986e-09,5.2707568077144667e-05,0.00010541513615428933,10.648175951344182,2.2318423919555417,1.0202898343450784,1.1,0.009123240973139095,0.011166593371939267,1.789494617787142e-14
LSODA,1.1666666666666667,776.2765200754643,10093.970820656892,-0.46985164271104723,0.008152849378139558,1.034178995575888e-09,5.289050770398591e-05,0.00010578101540797182,10.571942146889308,2.2504665914296424,1.0195713367099342,1.1,0.009156308806115865,0.010415027903818297,1.6772031554624466e-14
LSODA,1.3333333333333333,487.97344685258497,10097.919130499109,-0.48959412382014716,0.005038526126211285,1.0439985148789051e-09,5.306242831747102e-05,0.00010612485663494203,10.499774761465742,2.268384763519695,1.0190886618724013,1.1,0.009187504071243186,0.009901157801158139,1.6020230605763203e-14
LSODA,1.5,190.57919673853272,10100.045852062836,-0.5002286292918334,0.002069414249025062,1.0534743039216308e-09,5.322731272494971e-05,0.00010645462544989943,10.42990485464047,2.28600525086811,1.0188286457295412,1.1,0.009217549757815455,0.009611095971725783,1.562438552914248e-14
