method,kind,t_h,z_m
BDF,peak,1.6666666666666667,10100.417196248296
BDF,peak,12.666666666666666,9961.08206336421
BDF,peak,22.833333333333332,9881.94450193759
BDF,peak,33.0,9821.185402585988
BDF,peak,43.166666666666664,9774.47220618405
BDF,peak,53.333333333333336,9738.524544397418
BDF,peak,63.5,9710.844513296015
BDF,peak,73.83333333333333,9689.613499412148
BDF,peak,84.0,9673.26330773564
BDF,peak,94.16666666666667,9660.641751775162
BDF,peak,104.33333333333333,9650.898734429486
BDF,peak,114.5,9643.378317406217
BDF,peak,124.66666666666667,9637.574253643174
BDF,peak,135.0,9633.114791640824
BDF,peak,145.16666666666666,9629.675321940811
BDF,peak,155.33333333333334,9627.017685235234
BDF,peak,165.5,9624.96463201469
BDF,peak,175.66666666666666,9623.379004772889
BDF,peak,185.83333333333334,9622.154698167178
BDF,peak,196.16666666666666,9621.213173970196
BDF,peak,206.33333333333334,9620.48727988619
BDF,peak,216.5,9619.926266390592
BDF,peak,226.66666666666666,9619.492801645581
BDF,peak,236.83333333333334,9619.157977951942
BDF,peak,247.0,9618.899418502371
BDF,peak,257.3333333333333,9618.700428115379
BDF,peak,267.5,9618.547128191518
BDF,peak,277.6666666666667,9618.428640743288
BDF,peak,287.8333333333333,9618.337085925668
BDF,peak,298.0,9618.266361664244
BDF,peak,308.1666666666667,9618.211743897518
BDF,peak,318.5,9618.169677647375
BDF,peak,328.6666666666667,9618.137298184565
BDF,peak,338.8333333333333,9618.11227063008
BDF,peak,349.0,9618.092931141176
BDF,peak,359.1666666666667,9618.077991613214
BDF,peak,369.3333333333333,9618.06645923988
BDF,peak,379.6666666666667,9618.057569393974
BDF,peak,389.8333333333333,9618.050734867775
BDF,peak,400.0,9618.045451435904
BDF,peak,410.1666666666667,9618.041367214577
BDF,peak,420.3333333333333,9618.038210895493
BDF,peak,430.5,9618.035772822128
BDF,peak,440.8333333333333,9618.033892717487
BDF,peak,451.0,9618.032448633767
BDF,peak,461.1666666666667,9618.031330722533
BDF,peak,471.3333333333333,9618.030465718035
BDF,peak,481.5,9618.029796630146
BDF,peak,491.8333333333333,9618.029280838073
BDF,trough,7.5,9238.466233973188
BDF,trough,17.666666666666668,9324.420309991305
BDF,trough,27.833333333333332,9391.069752845535
BDF,trough,38.166666666666664,9442.484106612963
BDF,trough,48.333333333333336,9482.285843779315
BDF,trough,58.5,9513.121324395384
BDF,trough,68.66666666666667,9536.993202869537
BDF,trough,78.83333333333333,9555.461933909692
BDF,trough,89.0,9569.742180219542
BDF,trough,99.33333333333333,9580.75241744351
BDF,trough,109.5,9589.233481618545
BDF,trough,119.66666666666667,9595.792673506017
BDF,trough,129.83333333333334,9600.863484196092
BDF,trough,140.0,9604.78216236882
BDF,trough,150.16666666666666,9607.809410881993
BDF,trough,160.5,9610.144160459007
BDF,trough,170.66666666666666,9611.939156684171
BDF,trough,180.83333333333334,9613.326839168189
BDF,trough,191.0,9614.399305631563
BDF,trough,201.16666666666666,9615.227901399408
BDF,trough,211.33333333333334,9615.867893103654
BDF,trough,221.66666666666666,9616.361790394836
BDF,trough,231.83333333333334,9616.74109624144
BDF,trough,242.0,9617.034313985985
BDF,trough,252.16666666666666,9617.260916348132
BDF,trough,262.3333333333333,9617.435987643297
BDF,trough,272.5,9617.571207490779
BDF,trough,282.6666666666667,9617.675617841918
BDF,trough,293.0,9617.75575832146
BDF,trough,303.1666666666667,9617.817698323883
BDF,trough,313.3333333333333,9617.865567363573
BDF,trough,323.5,9617.902551435765
BDF,trough,333.6666666666667,9617.931117604972
BDF,trough,343.8333333333333,9617.953175643897
BDF,trough,354.1666666666667,9617.970118981628
BDF,trough,364.3333333333333,9617.983196600231
BDF,trough,374.5,9617.993305007325
BDF,trough,384.6666666666667,9618.001115670848
BDF,trough,394.8333333333333,9618.007145611607
BDF,trough,405.0,9618.011803580072
BDF,trough,415.3333333333333,9618.01538560764
BDF,trough,425.5,9618.018150004276
BDF,trough,435.6666666666667,9618.020286882807
BDF,trough,445.8333333333333,9618.021936789615
BDF,trough,456.0,9618.023212837947
BDF,trough,466.3333333333333,9618.024197513083
BDF,trough,476.5,9618.024954580964
BDF,trough,486.6666666666667,9618.025540811277
BDF,trough,496.8333333333333,9618.02599439257
LSODA,peak,1.6666666666666667,10100.417889837685
LSODA,peak,12.666666666666666,9961.086918357893
LSODA,peak,22.833333333333332,9881.948471108502
LSODA,peak,33.0,9821.188241562193
LSODA,peak,43.166666666666664,9774.474342587484
LSODA,peak,53.333333333333336,9738.52609472497
LSODA,peak,63.5,9710.845519900997
LSODA,peak,73.83333333333333,9689.614429645726
LSODA,peak,84.0,9673.263936457744
LSODA,peak,94.16666666666667,9660.642149471638
LSODA,peak,104.33333333333333,9650.89892963887
LSODA,peak,114.5,9643.378389596886
LSODA,peak,124.66666666666667,9637.574219324326
LSODA,peak,135.0,9633.114909470443
LSODA,peak,145.16666666666666,9629.675374086426
LSODA,peak,155.33333333333334,9627.017685882201
LSODA,peak,165.5,9624.964596986965
LSODA,peak,175.66666666666666,9623.378951598508
LSODA,peak,185.83333333333334,9622.154631018278
LSODA,peak,196.16666666666666,9621.21318171333
LSODA,peak,206.33333333333334,9620.487271159953
LSODA,peak,216.5,9619.92624763659
LSODA,peak,226.66666666666666,9619.492778193064
LSODA,peak,236.83333333333334,9619.157952918258
LSODA,peak,247.0,9618.899392528912
LSODA,peak,257.3333333333333,9618.700425821202
LSODA,peak,267.5,9618.547122537446
LSODA,peak,277.6666666666667,9618.428632875555
LSODA,peak,287.8333333333333,9618.337077918419
LSODA,peak,298.0,9618.266353514924
LSODA,peak,308.1666666666667,9618.211735942426
LSODA,peak,318.5,9618.16967653715
LSODA,peak,328.6666666666667,9618.13729643009
LSODA,peak,338.8333333333333,9618.112268739558
LSODA,peak,349.0,9618.09292929596
LSODA,peak,359.1666666666667,9618.077989496021
LSODA,peak,369.3333333333333,9618.06645166879
LSODA,peak,379.6666666666667,9618.057559791041
LSODA,peak,389.8333333333333,9618.05072154771
LSODA,peak,400.0,9618.045439531432
LSODA,peak,410.1666666666667,9618.04135306191
LSODA,peak,420.3333333333333,9618.038196150032
LSODA,peak,430.5,9618.035758007945
LSODA,peak,440.8333333333333,9618.033879375358
LSODA,peak,451.0,9618.032433912036
LSODA,peak,461.1666666666667,9618.031317677267
LSODA,peak,471.3333333333333,9618.030454818563
LSODA,peak,481.5,9618.029788569209
LSODA,peak,491.6666666666667,9618.029273357306
LSODA,trough,7.5,9238.463619315127
LSODA,trough,17.666666666666668,9324.416422052762
LSODA,trough,27.833333333333332,9391.066602512272
LSODA,trough,38.166666666666664,9442.481685108785
LSODA,trough,48.333333333333336,9482.283971516332
LSODA,trough,58.5,9513.119993226734
LSODA,trough,68.66666666666667,9536.992264828204
LSODA,trough,78.83333333333333,9555.461363333781
LSODA,trough,89.0,9569.741846722714
LSODA,trough,99.33333333333333,9580.75197890593
LSODA,trough,109.5,9589.233213052343
LSODA,trough,119.66666666666667,9595.792538224838
LSODA,trough,129.83333333333334,9600.863436692878
LSODA,trough,140.0,9604.782184143343
LSODA,trough,150.16666666666666,9607.809480445834
LSODA,trough,160.5,9610.144103228757
LSODA,trough,170.66666666666666,9611.93913858013
LSODA,trough,180.83333333333334,9613.326848737091
LSODA,trough,191.0,9614.399331125787
LSODA,trough,201.16666666666666,9615.22794048971
LSODA,trough,211.33333333333334,9615.867940208016
LSODA,trough,221.66666666666666,9616.361785843776
LSODA,trough,231.83333333333334,9616.741101636859
LSODA,trough,242.0,9617.034323302585
LSODA,trough,252.16666666666666,9617.2609294256
LSODA,trough,262.3333333333333,9617.436002042921
LSODA,trough,272.5,9617.571222999131
LSODA,trough,282.6666666666667,9617.67563249134
LSODA,trough,293.0,9617.75576103606
LSODA,trough,303.1666666666667,9617.81770197362
LSODA,trough,313.3333333333333,9617.865571373284
LSODA,trough,323.5,9617.902555730816
