method,t_h,x_m,z_m,u_m_s,w_m_s,m_kg,a,c,C_D,Re,S_i,η,R,driving_factor,m_dot
BDF,480.0,3278474.6960882824,9618.028800540136,1.909855997400792,3.316879115610371e-07,1.0802282313227853e-09,5.368757868159014e-05,0.00010737515736318027,9.830421509939587,2.4491834226132077,1.0022047686293472,1.0236057601080273,0.0022046962140683316,7.241527882201337e-08,1.2565091764933186e-19
BDF,480.1666666666667,3279620.609404478,9618.02899138598,1.9098550431634171,3.049910811414837e-07,1.0802283122070442e-09,5.3687580061555364e-05,0.00010737516012311073,9.830421116562059,2.4491835372964323,1.0022047829574998,1.023605798277196,0.002204699835332876,8.31221669420415e-08,1.4422891061602104e-19
BDF,480.3333333333333,3280766.522171519,9618.029165428234,1.9098541729430665,2.753065034877243e-07,1.0802284037771766e-09,5.368758162383205e-05,0.0001073751632476641,9.830420636911356,2.449183677131302,1.0022047960245621,1.0236058330856468,0.0022047031509465267,9.287361561229057e-08,1.6114908070093763e-19
BDF,480.5,3281912.4344437155,9618.029320870777,1.909853395720456,2.429779694468408e-07,1.0802285049614854e-09,5.368758335013597e-05,0.00010737516670027193,9.830420076790245,2.449183840426115,1.002204807695039,1.0236058641741554,0.0022047061265981914,1.0156844075471724e-07,1.762358591332892e-19
BDF,480.6666666666667,3283058.3462744085,9618.029456360033,1.9098527182635827,2.0833853798913864e-07,1.0802286147091817e-09,5.368758522253958e-05,0.00010737517044507916,9.830419442237831,2.449184025420273,1.0022048178680578,1.0236058912720067,0.0022047087362504986,1.0913180731927236e-07,1.893593963704007e-19
BDF,480.8333333333333,3284204.257728524,9618.02957052588,1.9098521474231647,1.717891915702737e-07,1.0802287317425633e-09,5.3687587219244004e-05,0.00010737517443848801,9.830418740816032,2.44918422990922,1.0022048264392327,1.0236059141051759,0.0022047109533891393,1.1548584355957833e-07,2.003845736216139e-19
BDF,481.0,3285350.1688734475,9618.029662288078,1.9098516886005232,1.3374005860457292e-07,1.0802288547369434e-09,5.368758931764876e-05,0.00010737517863529752,9.830417980625372,2.4491844515313805,1.0022048333285405,1.0236059324576157,0.0022047127568745268,1.2057166596298602e-07,2.0920921928255445e-19
BDF,481.1666666666667,3286496.0797779523,9618.029730862558,1.9098513457161543,9.460658438128902e-08,1.0802289823415737e-09,5.368759149470874e-05,0.00010737518298941748,9.830417170203392,2.4491846877977714,1.002204838477766,1.0236059461725115,0.002204714131074391,1.2434669158928324e-07,2.1575944546827334e-19
BDF,481.3333333333333,3287641.9905122495,9618.02977573214,1.9098511213560763,5.480834425410008e-08,1.0802291131787234e-09,5.368759372691849e-05,0.00010737518745383698,9.830416318481262,2.449184936104652,1.0022048418462361,1.023605955146428,0.0022047150653169484,1.2678091920129836e-07,2.1998319525418806e-19
BDF,481.5,3288787.901147763,9618.029796630146,1.9098510168537868,1.476853970118183e-08,1.0802292458479676e-09,5.368759599038538e-05,0.00010737519198077077,9.830415434749264,2.4491851937435842,1.0022048434151543,1.0236059593260292,0.0022047155535880754,1.2786156618075153e-07,2.2185828841340567e-19
BDF,481.6666666666667,3289933.811756469,9618.029793539046,1.9098510322970863,-2.5089839185577342e-08,1.0802293789390766e-09,5.368759826104951e-05,0.00010737519652209902,9.830414528568324,2.449185457927228,1.0022048431827495,1.0236059587078092,0.002204715594515751,1.275882337429049e-07,2.2138403239041166e-19
BDF,481.8333333333333,3291079.722410072,9618.029766692027,1.9098511665201752,-6.4349038714322e-08,1.080229511048551e-09,5.368760051496581e-05,0.00010737520102993161,9.830413609658324,2.4491857258218994,1.002204841167233,1.0236059533384054,0.002204715191411466,1.2597582160767118e-07,2.185862797027473e-19
BDF,482.0,3292225.6331792,9618.029716570592,1.9098514171156498,-1.0260111975478737e-07,1.0802296407949733e-09,5.368760272856596e-05,0.00010737520545713192,9.830412687791833,2.44918599457855,1.0022048374043122,1.0236059433141185,0.0022047143522368894,1.2305207532049486e-07,2.1351317221644083e-19
BDF,482.1666666666667,3293371.5441326564,9618.029643897631,1.9098517804691744,-1.3945223093298324e-07,1.0802297668336135e-09,5.368760487890758e-05,0.00010737520975781516,9.830411772689496,2.4491862613632693,1.0022048319483436,1.0236059287795263,0.0022047130894853285,1.1885885831553616e-07,2.0623734838805683e-19
BDF,482.3333333333333,3294517.455336724,9618.02954962735,1.90985225180986,-1.745266246677985e-07,1.0802298878701965e-09,5.3687606943909075e-05,0.00010737521388781815,9.830410873918087,2.4491865233870014,1.0022048248702013,1.0236059099254702,0.002204711420004053,1.1345019729647882e-07,1.968525517451927e-19
BDF,482.5,3295663.3668544902,9618.029434933012,1.9098528252714682,-2.0747037107988234e-07,1.0802300026738348e-09,5.3687608902570356e-05,0.00010737521780514071,9.83041000079278,2.4491867779340386,1.0022048162585624,1.0236058869866025,0.002204709364775043,1.0689378734897101e-07,1.8547624250076982e-19
BDF,482.6666666666667,3296809.2787452145,9618.029301192755,1.9098534939634064,-2.3795487646161055e-07,1.080230110089419e-09,5.368761073518415e-05,0.0001073752214703683,9.83040916228162,2.449187022389873,1.0022048062181983,1.0236058602385512,0.0022047069486596307,9.926953866562505e-08,1.7224707593389485e-19
BDF,482.8333333333333,3297955.1910637347,9618.029149973436,1.9098542500515217,-2.656801516533958e-07,1.0802302090491733e-09,5.3687612423533194e-05,0.00010737522484706639,9.83040836691373,2.449187254267953,1.002204794863988,1.0236058299946873,0.0022047042001054596,9.066388259810002e-08,1.5731502258209142e-19
BDF,483.0,3299101.103859929,9618.028983012578,1.9098550848482594,-2.9037783148479984e-07,1.0802302985835099e-09,5.368761395107542e-05,0.00010737522790215084,9.830407622690903,2.449187471235465,1.0022047823287477,1.0236057966025158,0.0022047011508177536,8.117792990288211e-08,1.4085552399802575e-19
BDF,483.1666666666667,3300247.017178232,9618.02880219864,1.9098559889114084,-3.118137024712073e-07,1.0802303778302514e-09,5.3687615303101265e-05,0.00010737523060620253,9.830406937008652,2.4491876711363436,1.0022047687538824,1.023605760439728,0.0022046978353978436,7.091848458094449e-08,1.2305390046538974e-19
BDF,483.3333333333333,3301392.931057212,9618.028609549869,1.909856952149768,-3.297897621234738e-07,1.0802304460425293e-09,5.368761646686847e-05,0.00010737523293373694,9.830406316585849,2.44918785201179,1.002204754289454,1.023605721909974,0.0022046942909545817,5.999849952108283e-08,1.0410614160983635e-19
BDF,483.5,3302538.8455292163,9618.028407191994,1.909857963934728,-3.4414604721485406e-07,1.0802305025957336e-09,5.3687617431720595e-05,0.00010737523486344119,9.83040576739887,2.4491880121194654,1.0022047390965698,1.023605681438399,0.002204690556692995,4.8539876823690264e-08,8.422376536816012e-20
BDF,483.6666666666667,3303684.7606212837,9618.028197444028,1.9098590126713173,-3.5475656165959483e-07,1.0802305469702536e-09,5.3687618188792626e-05,0.00010737523637758525,9.830405294868832,2.4491881498789145,1.0022047233487186,1.0236056394888056,0.002204686675502795,3.6673215778396107e-08,6.363338068678063e-20
