run,label,eigenvalue_index,real_s_inv,imag_s_inv
wA0-plus,1,1,-7.06018e-06,-0.000171212
wA0-plus,1,2,-7.06018e-06,0.000171212
wA0-plus,1,3,-16.3421,0.0
wA0-plus,1,4,-18.7184,0.0
wA0-plus,2,1,5093.73,0.0
wA0-plus,2,2,-2241150000.0,0.0
wA0-plus,2,3,-563001000000.0,0.0
wA0-plus,2,4,-3698660000000000.0,0.0
wA0-minus,1,1,-7.06018e-06,-0.000171212
wA0-minus,1,2,-7.06018e-06,0.000171212
wA0-minus,1,3,-16.3421,0.0
wA0-minus,1,4,-18.7184,0.0
wA0-minus,2,1,3735660000000000.0,0.0
wA0-minus,2,2,5159.71,0.0
wA0-minus,2,3,-2537180000.0,0.0
wA0-minus,2,4,-644023000000.0,0.0
Ha3-plus,1,1,-7.06018e-06,-0.000171212
Ha3-plus,1,2,-7.06018e-06,0.000171212
Ha3-plus,1,3,-16.3421,0.0
Ha3-plus,1,4,-18.7184,0.0
Ha3-plus,2,1,408117.0,0.0
Ha3-plus,2,2,181.801,0.0
Ha3-plus,2,3,-26264.2,0.0
Ha3-plus,2,4,-16927300.0,0.0
Ha3-minus,1,1,-7.06018e-06,-0.000171212
Ha3-minus,1,2,-7.06018e-06,0.000171212
Ha3-minus,1,3,-16.3421,0.0
Ha3-minus,1,4,-18.7184,0.0
Ha3-minus,2,1,181.801,0.0
Ha3-minus,2,2,-26264.2,0.0
Ha3-minus,2,3,-406715.0,0.0
Ha3-minus,2,4,-16985800.0,0.0
