control,control_value,success,message,z_m,u_m_s,w_m_s,m_kg,rhs_norm,critical_real_s_inv,critical_imag_s_inv,stable_eigenvalue_count
W_a0,0.1,True,The solution converged.,9596.486140981639,2.0175692950914836,0.0,5.83713237656091e-11,3.2169521733794466e-11,-1.416999921432397e-06,0.00019182325991996585,4
W_a0,0.15000000000000002,True,The solution converged.,9598.995951576891,2.0050202421156054,0.0,1.0890219080269922e-10,3.0649244891857337e-11,-1.5845715687292173e-06,0.00019032181360030686,4
W_a0,0.2,True,The solution converged.,9601.280436527166,1.9935978173641646,0.0,1.706695719862456e-10,1.258262037898041e-12,-1.8656589364561034e-06,0.0001884647752194196,4
W_a0,0.25,True,The solution converged.,9603.43960095559,1.9828019952220561,0.0,2.432651746153249e-10,5.0175023656155125e-11,-2.2405412746283743e-06,0.00018645785726872729,4
W_a0,0.30000000000000004,True,The solution converged.,9605.528692288484,1.9723565385575788,0.0,3.2670000858450575e-10,2.4460486432694936e-11,-2.7009884588899656e-06,0.00018437292225219597,4
W_a0,0.35,True,The solution converged.,9607.582754957128,1.9620862252143594,0.0,4.212362715330168e-10,1.058426526568679e-11,-3.2425306142513292e-06,0.00018224103650877626,4
W_a0,0.4,True,The solution converged.,9609.626417142354,1.9518679142882378,0.0,5.273121126028748e-10,5.275489056699058e-12,-3.861936274550671e-06,0.0001800773344444157,4
W_a0,0.45000000000000007,True,The solution converged.,9611.678438818257,1.9416078059087143,0.0,6.455035290546694e-10,2.536476802097793e-13,-4.556321472207425e-06,0.00017788963848353406,4
W_a0,0.5,True,The solution converged.,9613.754088153948,1.9312295592302613,0.0,7.765038425629287e-10,1.5728677385498648e-13,-5.322826528482735e-06,0.0001756819870457149,4
W_a0,0.55,True,The solution converged.,9615.866502871728,1.920667485641359,0.0,9.211125177264881e-10,1.6379391650377268e-12,-6.158511061180648e-06,0.00017345627008661174,4
W_a0,0.6,True,The solution converged.,9618.027532264672,1.909862338676642,0.0,1.080229392059054e-09,2.6884804833291466e-13,-7.060337442475314e-06,0.0001712130550045551,4
W_a0,0.65,True,The solution converged.,9620.248295345655,1.8987585232717223,0.0,1.2548522612541735e-09,7.422332801037883e-14,-8.025189795806633e-06,0.0001689520358673579,4
W_a0,0.7000000000000001,True,The solution converged.,9622.539576209814,1.8873021189509311,0.0,1.446076663741387e-09,2.273949476248072e-13,-9.049905566531326e-06,0.00016667230218993562,4
W_a0,0.75,True,The solution converged.,9624.912123536382,1.8754393823180868,0.0,1.6550971743652997e-09,9.003115440000352e-14,-1.013130942136144e-05,0.00016437249117279718,4
W_a0,0.8,True,The solution converged.,9627.376893469609,1.8631155326519517,0.0,1.8832097722058684e-09,7.889049052376954e-12,-1.1266244957016836e-05,0.00016205089337939751,4
W_a0,0.85,True,The solution converged.,9629.945260435785,1.8502736978210748,0.0,2.131814993343057e-09,5.147945844117898e-12,-1.245160240097752e-05,0.00015970551565890366,4
W_a0,0.9,True,The solution converged.,9632.62921231057,1.8368539384471487,0.0,2.4024216649355597e-09,1.6981988615083754e-12,-1.3684341784764382e-05,0.00015733412278485064,4
W_a0,0.95,True,The solution converged.,9635.441541546086,1.82279229226957,0.0,2.6966510671653312e-09,4.2899409460952385e-12,-1.4961511714473417e-05,0.00015493426609915176,4
W_a0,1.0,True,The solution converged.,9638.396041871618,1.8080197906419135,0.0,3.016241398393196e-09,7.579759661216422e-12,-1.628026412986359e-05,0.0001525032918245039,4
W_a0,1.05,True,The solution converged.,9641.507718378201,1.792461408108993,0.0,3.3630524330448983e-09,2.8128412059747543e-13,-1.7637865571520763e-05,0.00015003835517789633,4
W_a0,1.1,True,The solution converged.,9644.793018756622,1.7760349062168899,0.0,3.739070265538718e-09,3.09807318096668e-12,-1.9031705486336743e-05,0.00014753641352010317,4
W_a0,1.15,True,The solution converged.,9648.270093633198,1.75864953183401,0.0,4.1464120295367835e-09,1.0214069372459708e-12,-2.045930209517666e-05,0.00014499422340472328,4
W_a0,1.2,True,The solution converged.,9651.959094828704,1.7402045258564787,0.0,4.587330469631528e-09,3.256094438000329e-12,-2.1918306301148798e-05,0.00014240832573740597,4
H_a3,0.4,True,"The iteration is not making good progress, as measured by the 
 improvement from the last ten iterations.",9618.027532260936,1.9098623386953224,0.0,1.0802293920592036e-09,6.078568295408877e-13,-7.798793830523216e-05,0.0,4
H_a3,0.42500000000000004,True,"The iteration is not making good progress, as measured by the 
 improvement from the last ten iterations.",9618.027532260936,1.9098623386953224,0.0,1.0802293920592036e-09,5.440068932746546e-13,-0.00013702678493685697,2.4564436734270273e-05,4
H_a3,0.45,True,"The iteration is not making good progress, as measured by the 
 improvement from the last ten iterations.",9618.027532260936,1.9098623386953224,0.0,1.0802293920592036e-09,4.813606934536773e-13,-0.00011946298247373036,8.035993921402042e-05,4
