run,line,message
pmass-wA0-plus,37,1     1         Iterations   :   2
pmass-wA0-plus,55,1     2         Iterations   :   2
pmass-wA0-plus,73,1     3         Iterations   :   2
pmass-wA0-plus,91,1     4         Iterations   :   2
pmass-wA0-plus,109,1     5         Iterations   :   2
pmass-wA0-plus,127,1     6         Iterations   :   2
pmass-wA0-plus,146,1     7         Iterations   :   3
pmass-wA0-plus,165,1     8         Iterations   :   3
pmass-wA0-plus,184,1     9         Iterations   :   3
pmass-wA0-plus,203,1    10         Iterations   :   3
pmass-wA0-plus,222,1    11         Iterations   :   3
pmass-wA0-plus,241,1    12         Iterations   :   3
pmass-wA0-plus,302,1    14         Iterations   :   3
pmass-wA0-plus,321,1    15         Iterations   :   3
pmass-wA0-plus,340,1    16         Iterations   :   3
pmass-wA0-plus,359,1    17         Iterations   :   3
pmass-wA0-plus,378,1    18         Iterations   :   3
pmass-wA0-plus,439,1    20         Iterations   :   3
pmass-wA0-plus,458,1    21         Iterations   :   3
pmass-wA0-plus,477,1    22         Iterations   :   3
pmass-wA0-plus,496,1    23         Iterations   :   3
pmass-wA0-plus,515,1    24         Iterations   :   3
pmass-wA0-plus,576,1    26         Iterations   :   3
pmass-wA0-plus,595,1    27         Iterations   :   3
pmass-wA0-plus,614,1    28         Iterations   :   3
pmass-wA0-plus,633,1    29         Iterations   :   3
pmass-wA0-plus,652,1    30         Iterations   :   3
pmass-wA0-plus,671,1    31         Iterations   :   3
pmass-wA0-plus,732,1    33         Iterations   :   3
pmass-wA0-plus,751,1    34         Iterations   :   3
pmass-wA0-plus,770,1    35         Iterations   :   3
pmass-wA0-plus,789,1    36         Iterations   :   3
pmass-wA0-plus,808,1    37         Iterations   :   3
pmass-wA0-plus,827,1    38         Iterations   :   3
pmass-wA0-plus,889,1    40         Iterations   :   3
pmass-wA0-plus,908,1    41         Iterations   :   3
pmass-wA0-plus,927,1    42         Iterations   :   3
pmass-wA0-plus,946,1    43         Iterations   :   3
pmass-wA0-plus,965,1    44         Iterations   :   3
pmass-wA0-plus,984,1    45         Iterations   :   3
pmass-wA0-plus,1047,1    47         Iterations   :   3
pmass-wA0-plus,1066,1    48         Iterations   :   3
pmass-wA0-plus,1085,1    49         Iterations   :   3
pmass-wA0-plus,1104,1    50         Iterations   :   3
pmass-wA0-plus,1123,1    51         Iterations   :   3
pmass-wA0-plus,1142,1    52         Iterations   :   3
pmass-wA0-plus,1161,1    53         Iterations   :   3
pmass-wA0-plus,1180,1    54         Iterations   :   3
pmass-wA0-plus,1199,1    55         Iterations   :   3
pmass-wA0-plus,1218,1    56         Iterations   :   3
pmass-wA0-plus,1237,1    57         Iterations   :   3
pmass-wA0-plus,1256,1    58         Iterations   :   3
pmass-wA0-plus,1275,1    59         Iterations   :   3
pmass-wA0-plus,1294,1    60         Iterations   :   3
pmass-wA0-plus,1313,1    61         Iterations   :   3
pmass-wA0-plus,1332,1    62         Iterations   :   3
pmass-wA0-plus,1351,1    63         Iterations   :   3
pmass-wA0-plus,1370,1    64         Iterations   :   3
pmass-wA0-plus,1389,1    65         Iterations   :   3
pmass-wA0-plus,1408,1    66         Iterations   :   3
pmass-wA0-plus,1427,1    67         Iterations   :   3
pmass-wA0-plus,1446,1    68         Iterations   :   3
pmass-wA0-plus,1465,1    69         Iterations   :   3
pmass-wA0-plus,1484,1    70         Iterations   :   3
pmass-wA0-plus,1503,1    71         Iterations   :   3
pmass-wA0-plus,1522,1    72         Iterations   :   3
pmass-wA0-plus,1541,1    73         Iterations   :   3
pmass-wA0-plus,1560,1    74         Iterations   :   3
pmass-wA0-plus,1579,1    75         Iterations   :   3
pmass-wA0-plus,1598,1    76         Iterations   :   3
pmass-wA0-plus,1617,1    77         Iterations   :   3
pmass-wA0-plus,1636,1    78         Iterations   :   3
pmass-wA0-plus,1655,1    79         Iterations   :   3
pmass-wA0-plus,1674,1    80         Iterations   :   3
pmass-wA0-plus,1693,1    81         Iterations   :   3
pmass-wA0-plus,1712,1    82         Iterations   :   3
pmass-wA0-plus,1731,1    83         Iterations   :   3
pmass-wA0-plus,1750,1    84         Iterations   :   3
pmass-wA0-plus,1769,1    85         Iterations   :   3
pmass-wA0-plus,1788,1    86         Iterations   :   3
pmass-wA0-plus,1807,1    87         Iterations   :   3
pmass-wA0-plus,1826,1    88         Iterations   :   3
pmass-wA0-plus,1845,1    89         Iterations   :   3
pmass-wA0-plus,1864,1    90         Iterations   :   3
pmass-wA0-plus,1883,1    91         Iterations   :   3
pmass-wA0-plus,1902,1    92         Iterations   :   3
pmass-wA0-plus,1921,1    93         Iterations   :   3
pmass-wA0-plus,1940,1    94         Iterations   :   3
pmass-wA0-plus,1959,1    95         Iterations   :   3
pmass-wA0-plus,1978,1    96         Iterations   :   3
pmass-wA0-plus,1997,1    97         Iterations   :   3
pmass-wA0-plus,2016,1    98         Iterations   :   3
pmass-wA0-plus,2035,1    99         Iterations   :   3
pmass-wA0-plus,2054,1   100         Iterations   :   3
pmass-wA0-plus,2073,1   101         Iterations   :   3
pmass-wA0-plus,2092,1   102         Iterations   :   3
pmass-wA0-plus,2111,1   103         Iterations   :   3
pmass-wA0-plus,2130,1   104         Iterations   :   3
pmass-wA0-plus,2149,1   105         Iterations   :   3
pmass-wA0-plus,2168,1   106         Iterations   :   3
pmass-wA0-plus,2187,1   107         Iterations   :   3
pmass-wA0-plus,2206,1   108         Iterations   :   3
pmass-wA0-plus,2225,1   109         Iterations   :   3
pmass-wA0-plus,2244,1   110         Iterations   :   3
pmass-wA0-plus,2263,1   111         Iterations   :   3
pmass-wA0-plus,2282,1   112         Iterations   :   3
pmass-wA0-plus,2301,1   113         Iterations   :   3
pmass-wA0-plus,2320,1   114         Iterations   :   3
pmass-wA0-plus,2339,1   115         Iterations   :   3
pmass-wA0-plus,2358,1   116         Iterations   :   3
pmass-wA0-plus,2377,1   117         Iterations   :   3
pmass-wA0-plus,2396,1   118         Iterations   :   3
pmass-wA0-plus,2415,1   119         Iterations   :   3
pmass-wA0-plus,2434,1   120         Iterations   :   3
pmass-wA0-plus,2453,1   121         Iterations   :   3
pmass-wA0-plus,2472,1   122         Iterations   :   3
pmass-wA0-plus,2491,1   123         Iterations   :   3
pmass-wA0-plus,2510,1   124         Iterations   :   3
pmass-wA0-plus,2529,1   125         Iterations   :   3
pmass-wA0-plus,2548,1   126         Iterations   :   3
pmass-wA0-plus,2567,1   127         Iterations   :   3
pmass-wA0-plus,2586,1   128         Iterations   :   3
pmass-wA0-plus,2605,1   129         Iterations   :   3
pmass-wA0-plus,2624,1   130         Iterations   :   3
pmass-wA0-plus,2643,1   131         Iterations   :   3
pmass-wA0-plus,2662,1   132         Iterations   :   3
pmass-wA0-plus,2681,1   133         Iterations   :   3
pmass-wA0-plus,2700,1   134         Iterations   :   3
pmass-wA0-plus,2719,1   135         Iterations   :   3
pmass-wA0-plus,2738,1   136         Iterations   :   3
pmass-wA0-plus,2757,1   137         Iterations   :   3
pmass-wA0-plus,2776,1   138         Iterations   :   3
pmass-wA0-plus,2795,1   139         Iterations   :   3
pmass-wA0-plus,2814,1   140         Iterations   :   3
pmass-wA0-plus,2833,1   141         Iterations   :   3
pmass-wA0-plus,2852,1   142         Iterations   :   3
