run,point,label,H_a3,eigen_index,real_s_inv,imag_s_inv
hscaled-minus,1,1,0.61,1,-16.34209410516834,0.0
hscaled-minus,1,1,0.61,2,-18.718353955167117,0.0
hscaled-minus,1,1,0.61,3,-7.060337442786382e-06,0.00017121305453915108
hscaled-minus,1,1,0.61,4,-7.060337442786382e-06,-0.00017121305453915108
hscaled-minus,2,2,0.61,1,-16.34209410516834,0.0
hscaled-minus,2,2,0.61,2,-18.718353955167117,0.0
hscaled-minus,2,2,0.61,3,-7.060337442786382e-06,0.00017121305453915108
hscaled-minus,2,2,0.61,4,-7.060337442786382e-06,-0.00017121305453915108
hscaled-plus,-2,2,0.61,1,-16.34209410516834,0.0
hscaled-plus,-2,2,0.61,2,-18.718353955167117,0.0
hscaled-plus,-2,2,0.61,3,-7.060337442786382e-06,0.00017121305453915108
hscaled-plus,-2,2,0.61,4,-7.060337442786382e-06,-0.00017121305453915108
hscaled-plus,1,1,0.61,1,-16.34209410516834,0.0
hscaled-plus,1,1,0.61,2,-18.718353955167117,0.0
hscaled-plus,1,1,0.61,3,-7.060337442786382e-06,0.00017121305453915108
hscaled-plus,1,1,0.61,4,-7.060337442786382e-06,-0.00017121305453915108
q-minus,-34,7,0.597112920927,1,-16.342464908612808,0.0
q-minus,-34,7,0.597112920927,2,-0.00013656330979745822,0.0
q-minus,-34,7,0.597112920927,3,0.00011878478978646196,0.0
q-minus,-34,7,0.597112920927,4,-18.62485951465158,0.0
q-minus,1,1,0.61,1,-16.34209410516834,0.0
q-minus,1,1,0.61,2,-18.718353955167117,0.0
q-minus,1,1,0.61,3,-7.060337442786382e-06,0.00017121305453915108
q-minus,1,1,0.61,4,-7.060337442786382e-06,-0.00017121305453915108
q-minus,21,4,0.6,1,-16.34237938501117,0.0
q-minus,21,4,0.6,2,-8.47340366756973e-06,0.0001661008935833024
q-minus,21,4,0.6,3,-8.47340366756973e-06,-0.0001661008935833024
q-minus,21,4,0.6,4,-18.646520819340235,0.0
q-minus,33,6,0.597112920927,1,-16.342464908612808,0.0
q-minus,33,6,0.597112920927,2,-0.00013656330979745822,0.0
q-minus,33,6,0.597112920927,3,0.00011878478978646196,0.0
q-minus,33,6,0.597112920927,4,-18.62485951465158,0.0
q-plus,1,1,0.61,1,-16.34209410516834,0.0
q-plus,1,1,0.61,2,-18.718353955167117,0.0
q-plus,1,1,0.61,3,-7.060337442786382e-06,0.00017121305453915108
q-plus,1,1,0.61,4,-7.060337442786382e-06,-0.00017121305453915108
q-plus,10,2,0.61098917281039,1,-16.34206678212322,0.0
q-plus,10,2,0.61098917281039,2,-6.922655370683894e-06,0.00017171041002681702
q-plus,10,2,0.61098917281039,3,-6.922655370683894e-06,-0.00017171041002681702
q-plus,10,2,0.61098917281039,4,-18.72520013923178,0.0
