run,point,label,type,H_a3,z_m,u_m_s,m_kg,raw_restricted_residual_norm,scaled_restricted_residual_norm,full_rhs_norm,full_stable_eigenvalue_count,full_critical_real_s_inv,full_critical_imag_s_inv
hscaled-minus,1,1,EP,0.61,9618.027532260936,1.9098623386953224,1.0802293920592052e-09,2.026349867293682e-13,2.7263261247234583e-10,2.1506166359534412e-13,4,-7.060337442786382e-06,0.00017121305453915108
hscaled-minus,2,2,MX,0.61,9618.027532260936,1.9098623386953224,1.0802293920592052e-09,2.026349867293682e-13,2.7263261247234583e-10,2.1506166359534412e-13,4,-7.060337442786382e-06,0.00017121305453915108
hscaled-plus,-2,2,MX,0.61,9618.027532260936,1.9098623386953224,1.0802293920592052e-09,2.026349867293682e-13,2.7263261247234583e-10,2.1506166359534412e-13,4,-7.060337442786382e-06,0.00017121305453915108
hscaled-plus,1,1,EP,0.61,9618.027532260936,1.9098623386953224,1.0802293920592052e-09,2.026349867293682e-13,2.7263261247234583e-10,2.1506166359534412e-13,4,-7.060337442786382e-06,0.00017121305453915108
q-minus,-34,7,MX,0.597112920927,9999.999983870935,8.05953224158884e-08,1.0642381309671094e-09,8.171091053965803e-10,1.652127056780164e-09,8.171091115880012e-10,3,0.00011878478978646196,0.0
q-minus,1,1,EP,0.61,9618.027532260936,1.9098623386953224,1.0802293920592052e-09,2.026349867293682e-13,2.7263261247234583e-10,2.1506166359534412e-13,4,-7.060337442786382e-06,0.00017121305453915108
q-minus,21,4,UZ,0.6,9910.252314870935,0.4487384255953224,1.067930976526797e-09,8.171456736984272e-10,2.445434688046836e-10,8.171456644480406e-10,4,-8.47340366756973e-06,0.0001661008935833024
q-minus,33,6,LP,0.597112920927,9999.999983870935,8.05953224158884e-08,1.0642381309671094e-09,8.171091053965803e-10,1.652127056780164e-09,8.171091115880012e-10,3,0.00011878478978646196,0.0
q-plus,1,1,EP,0.61,9618.027532260936,1.9098623386953224,1.0802293920592052e-09,2.026349867293682e-13,2.7263261247234583e-10,2.1506166359534412e-13,4,-7.060337442786382e-06,0.00017121305453915108
q-plus,10,2,NPR,0.61098917281039,9590.596761065935,2.0470161946753223,1.081405881038038e-09,8.174680153139717e-11,2.0839301495668322e-10,8.174680894219599e-11,4,-6.922655370683894e-06,0.00017171041002681702
