H_a3,success,solver_success_flag,message,scaled_residual_norm,z_m,u_m_s,m_kg
0.61,True,True,The solution converged.,1.50020446851053e-10,9618.02753226481,1.9098623386759501,1.0802293920590003e-09
0.605,True,True,The solution converged.,7.544363819513327e-11,9760.654382857481,1.1967280857125977,1.0741737341729141e-09
0.6,True,True,The solution converged.,3.3240434494066755e-10,9910.252314881154,0.4487384255942286,1.0679309765266253e-09
0.595,False,False,"The iteration is not making good progress, as measured by the 
 improvement from the last five Jacobian evaluations.",1.4602067707824637,9003.018548429516,7.924940577691096,2.829846644714211e-07
0.59,False,False,"The iteration is not making good progress, as measured by the 
 improvement from the last five Jacobian evaluations.",14.88370243953891,10000.003191772907,0.05191151713859454,9.744203631478966e-10
0.611,True,True,The solution converged.,1.4527086482919153e-12,9590.297909823525,2.0485104508823735,1.0814187198098937e-09
0.612,True,True,The solution converged.,2.963953088358652e-10,9562.825327589573,2.185873362052133,1.0826009135100411e-09
0.615,True,True,The solution converged.,2.2748280482813067e-10,9481.916121493225,2.5904193925338803,1.086105251599371e-09
0.62,True,True,The solution converged.,2.6892793704327454e-10,9351.902060906632,3.240489695466836,1.091808299421832e-09
0.625,True,True,The solution converged.,9.271124521532703e-11,9227.601122024293,3.861994389878531,1.0973452198752473e-09
0.65,False,False,"The iteration is not making good progress, as measured by the 
 improvement from the last ten iterations.",1.6175086556974883,8617.344825696644,6.889076953238003,1.0393747267730132e-08
