run,variant,direction,branch,point,ty,type,label,is_user_point,is_special_point,q_H_scaled,H_a3,scaled_l2_norm,Z_or_ZH_scaled,U_or_UH_scaled,P_log_ratio_over_10,M_log_ratio,z_m,u_m_s,m_kg
hscaled-minus,larger_H_state_scale,downward,1,1,9,EP,1,False,False,0.0,0.61,0.0,0.0,0.0,0.0,0.0,9618.027532260936,1.9098623386953224,1.0802293920592052e-09
hscaled-minus,larger_H_state_scale,downward,1,2,-9,MX,2,False,False,0.0,0.61,0.0,0.0,0.0,0.0,0.0,9618.027532260936,1.9098623386953224,1.0802293920592052e-09
hscaled-plus,larger_H_state_scale,upward,1,-2,-9,MX,2,False,False,0.0,0.61,0.0,0.0,0.0,0.0,0.0,9618.027532260936,1.9098623386953224,1.0802293920592052e-09
hscaled-plus,larger_H_state_scale,upward,1,1,9,EP,1,False,False,0.0,0.61,0.0,0.0,0.0,0.0,0.0,9618.027532260936,1.9098623386953224,1.0802293920592052e-09
q-minus,task019_state_scale,downward,1,-34,-9,MX,7,False,False,-12.887079073,0.597112920927,4.2705820971,3.8197245161,-1.9098622581,-0.0014914245459,-0.014914245459,9999.999983870935,8.05953224158884e-08,1.0642381309671094e-09
q-minus,task019_state_scale,downward,1,1,9,EP,1,False,False,0.0,0.61,0.0,0.0,0.0,0.0,0.0,9618.027532260936,1.9098623386953224,1.0802293920592052e-09
q-minus,task019_state_scale,downward,1,21,-4,UZ,4,True,False,-10.0,0.6,3.2671725938,2.9222478261,-1.4611239131,-0.0011450308908,-0.011450308908,9910.252314870935,0.4487384255953224,1.067930976526797e-09
q-minus,task019_state_scale,downward,1,33,2,LP,6,False,True,-12.887079073,0.597112920927,4.2705820971,3.8197245161,-1.9098622581,-0.0014914245459,-0.014914245459,9999.999983870935,8.05953224158884e-08,1.0642381309671094e-09
q-plus,task019_state_scale,upward,1,1,9,EP,1,False,False,0.0,0.61,0.0,0.0,0.0,0.0,0.0,9618.027532260936,1.9098623386953224,1.0802293920592052e-09
q-plus,task019_state_scale,upward,1,10,4,NPR,2,False,False,0.98917281039,0.61098917281039,0.30668536466,-0.27430771195,0.13715385598,0.00010885176696,0.0010885176696,9590.596761065935,2.0470161946753223,1.081405881038038e-09
