H_a3,nearest_auto_run,nearest_auto_H_a3,auto_delta_H,auto_z_m,task012_z_m,z_abs_error_m,auto_u_m_s,task012_u_m_s,u_abs_error_m_s,auto_m_kg,task012_m_kg,relative_m_error,task012_stable_eigenvalue_count,task012_critical_real_s_inv
0.4,q-minus,0.597112920927,0.19711292092699995,9999.999983870935,9618.027532260936,381.97245160999955,8.05953224158884e-08,1.9098623386953224,1.9098622581,1.0642381309671094e-09,1.0802293920592036e-09,0.014803578952439545,4,-7.798793830523216e-05
0.425,q-minus,0.597112920927,0.17211292092699998,9999.999983870935,9618.027532260936,381.97245160999955,8.05953224158884e-08,1.9098623386953224,1.9098622581,1.0642381309671094e-09,1.0802293920592036e-09,0.014803578952439545,4,-0.0001370267849368
0.45,q-minus,0.597112920927,0.14711292092699996,9999.999983870935,9618.027532260936,381.97245160999955,8.05953224158884e-08,1.9098623386953224,1.9098622581,1.0642381309671094e-09,1.0802293920592036e-09,0.014803578952439545,4,-0.0001194629824737
0.475,q-minus,0.597112920927,0.12211292092699999,9999.999983870935,9618.027532260936,381.97245160999955,8.05953224158884e-08,1.9098623386953224,1.9098622581,1.0642381309671094e-09,1.0802293920592036e-09,0.014803578952439545,4,-0.0001018994203423
0.5,q-minus,0.597112920927,0.09711292092699997,9999.999983870935,9618.027532260936,381.97245160999955,8.05953224158884e-08,1.9098623386953224,1.9098622581,1.0642381309671094e-09,1.0802293920592036e-09,0.014803578952439545,4,-8.433609853247248e-05
0.525,q-minus,0.597112920927,0.07211292092699995,9999.999983870935,9618.027532260936,381.97245160999955,8.05953224158884e-08,1.9098623386953224,1.9098622581,1.0642381309671094e-09,1.0802293920592036e-09,0.014803578952439545,4,-6.677301704094895e-05
0.55,q-minus,0.597112920927,0.047112920926999924,9999.999983870935,9618.027532260936,381.97245160999955,8.05953224158884e-08,1.9098623386953224,1.9098622581,1.0642381309671094e-09,1.0802293920592036e-09,0.014803578952439545,4,-4.921017585786417e-05
0.575,q-minus,0.597112920927,0.022112920927000013,9999.999983870935,9618.027532260936,381.97245160999955,8.05953224158884e-08,1.9098623386953224,1.9098622581,1.0642381309671094e-09,1.0802293920592036e-09,0.014803578952439545,4,-3.164757497836428e-05
0.6,q-minus,0.6,0.0,9910.252314870935,9618.027532260936,292.22478260999924,0.4487384255953224,1.9098623386953224,1.4611239131,1.067930976526797e-09,1.0802293920592036e-09,0.011385003613873729,4,-1.4085214394614044e-05
0.625,q-plus,0.61098917281039,0.014010827189609998,9590.596761065935,9618.027532260936,27.43077119500049,2.0470161946753223,1.9098623386953224,0.13715385597999985,1.081405881038038e-09,1.0802293920592036e-09,0.001089110319977257,2,3.4769058993414246e-06
0.65,q-plus,0.61098917281039,0.03901082718961002,9590.596761065935,9618.027532260936,27.43077119500049,2.0470161946753223,1.9098623386953224,0.13715385597999985,1.081405881038038e-09,1.0802293920592036e-09,0.001089110319977257,2,2.103878591124469e-05
0.675,q-plus,0.61098917281039,0.06401082718961004,9590.596761065935,9618.027532260936,27.43077119500049,2.0470161946753223,1.9098623386953224,0.13715385597999985,1.081405881038038e-09,1.0802293920592036e-09,0.001089110319977257,2,3.86004256478077e-05
0.7,q-plus,0.61098917281039,0.08901082718960995,9590.596761065935,9618.027532260936,27.43077119500049,2.0470161946753223,1.9098623386953224,0.13715385597999985,1.081405881038038e-09,1.0802293920592036e-09,0.001089110319977257,2,5.616182511502133e-05
0.725,q-plus,0.61098917281039,0.11401082718960998,9590.596761065935,9618.027532260936,27.43077119500049,2.0470161946753223,1.9098623386953224,0.13715385597999985,1.081405881038038e-09,1.0802293920592036e-09,0.001089110319977257,2,7.372298432083748e-05
0.75,q-plus,0.61098917281039,0.13901082718961,9590.596761065935,9618.027532260936,27.43077119500049,2.0470161946753223,1.9098623386953224,0.13715385597999985,1.081405881038038e-09,1.0802293920592036e-09,0.001089110319977257,2,9.128390327167276e-05
0.775,q-plus,0.61098917281039,0.16401082718961002,9590.596761065935,9618.027532260936,27.43077119500049,2.0470161946753223,1.9098623386953224,0.13715385597999985,1.081405881038038e-09,1.0802293920592036e-09,0.001089110319977257,2,0.0001088445819754
0.8,q-plus,0.61098917281039,0.18901082718961004,9590.596761065935,9618.027532260936,27.43077119500049,2.0470161946753223,1.9098623386953224,0.13715385597999985,1.081405881038038e-09,1.0802293920592036e-09,0.001089110319977257,2,0.0001264050204364
0.825,q-plus,0.61098917281039,0.21401082718960995,9590.596761065935,9618.027532260936,27.43077119500049,2.0470161946753223,1.9098623386953224,0.13715385597999985,1.081405881038038e-09,1.0802293920592036e-09,0.001089110319977257,2,0.0001439652186622
0.85,q-plus,0.61098917281039,0.23901082718960998,9590.596761065935,9618.027532260936,27.43077119500049,2.0470161946753223,1.9098623386953224,0.13715385597999985,1.081405881038038e-09,1.0802293920592036e-09,0.001089110319977257,2,0.0001615251766626
