kind,sample,i,j,value
residual,seed,1,0,4.4408366133990405e-16
residual,seed,2,0,7.36244030655654e-08
residual,seed,3,0,-7.714339690412037e-11
dfdu,seed,1,1,-0.49999375318425954
dfdu,seed,1,2,-0.9999875058926052
dfdu,seed,1,3,-2.745313214425717e-16
dfdu,seed,2,1,-0.00396390300118663
dfdu,seed,2,2,0.0
dfdu,seed,2,3,-1.0000000422363802
dfdu,seed,3,1,7.031843156214993
dfdu,seed,3,2,0.0
dfdu,seed,3,3,-0.9975245615455324
dfdp,seed,1,2,1.0762226058186247e-16
dfdp,seed,1,1,0.0
dfdp,seed,1,4,0.0
dfdp,seed,2,2,3.0880327173314073
dfdp,seed,2,1,0.0
dfdp,seed,2,4,0.0
dfdp,seed,3,2,-3.135196980847e-11
dfdp,seed,3,1,0.0
dfdp,seed,3,4,1960.1235753670192
pvls,seed,60,0,7.50798380854123e-05
pvls,seed,61,0,1.8660807170718706e-05
pvls,seed,62,0,9.3740645256131e-05
pvls,seed,63,0,0.0022046734068059126
pvls,seed,64,0,0.0022046734068059126
pvls,seed,65,0,-6.189493362285248e-14
pvls,seed,66,0,-1.0739668623221835e-25
pvls,seed,67,0,16.34209419926291
pvls,seed,68,0,2.4491861194256677
pvls,seed,75,0,1.002204673406744
pvls,seed,77,0,1.0236055064521872
pvls,seed,79,0,0.6000000238418579
pvls,seed,80,0,1.9098623386953228
pvls,seed,81,0,0.44485770938430996
pvls,seed,91,0,4.462804383820185e-07
pvls,seed,92,0,-6.189493362285248e-14
pvls,seed,93,0,-6.061583369767476
pvls,seed,94,0,-1.2855818452320482e-06
pvls,seed,95,0,5.496412486894791e-07
pvls,seed,96,0,9618.027532260936
pvls,seed,97,0,1.9098623386953224
pvls,seed,98,0,1.0802293920592036e-09
residual,tangent_predictor_W0p601,1,0,4.433442351328436e-16
residual,tangent_predictor_W0p601,2,0,-1.8564797029767317e-06
residual,tangent_predictor_W0p601,3,0,-2.7259381957197423e-06
dfdu,tangent_predictor_W0p601,1,1,-0.49916123328589723
dfdu,tangent_predictor_W0p601,1,2,-0.9983224660972443
dfdu,tangent_predictor_W0p601,1,3,-2.740279696683253e-16
dfdu,tangent_predictor_W0p601,2,1,-0.003969900157826987
dfdu,tangent_predictor_W0p601,2,2,0.0
dfdu,tangent_predictor_W0p601,2,3,-0.999830136698166
dfdu,tangent_predictor_W0p601,3,1,7.019596405303102
dfdu,tangent_predictor_W0p601,3,2,0.0
dfdu,tangent_predictor_W0p601,3,3,-0.9975528566975449
dfdp,tangent_predictor_W0p601,1,2,1.0749510922782497e-16
dfdp,tangent_predictor_W0p601,1,1,0.0
dfdp,tangent_predictor_W0p601,1,4,0.0
dfdp,tangent_predictor_W0p601,2,2,3.0837331271870148
dfdp,tangent_predictor_W0p601,2,1,0.0
dfdp,tangent_predictor_W0p601,2,4,0.0
dfdp,tangent_predictor_W0p601,3,2,-1.1081330174423505e-06
dfdp,tangent_predictor_W0p601,3,1,0.0
dfdp,tangent_predictor_W0p601,3,4,1957.4485544492338
pvls,tangent_predictor_W0p601,60,0,7.507993169331151e-05
pvls,tangent_predictor_W0p601,61,0,1.86817118199927e-05
pvls,tangent_predictor_W0p601,62,0,9.376164351330421e-05
pvls,tangent_predictor_W0p601,63,0,0.0022079627183676817
pvls,tangent_predictor_W0p601,64,0,0.0022079627183676817
pvls,tangent_predictor_W0p601,65,0,-2.190126222306049e-09
pvls,tangent_predictor_W0p601,66,0,-3.806698575731936e-21
pvls,tangent_predictor_W0p601,67,0,16.314883622110113
pvls,tangent_predictor_W0p601,68,0,2.4557804319306147
pvls,tangent_predictor_W0p601,75,0,1.0022079605282415
pvls,tangent_predictor_W0p601,77,0,1.0236142627831226
pvls,tangent_predictor_W0p601,79,0,0.6010000109672546
pvls,tangent_predictor_W0p601,80,0,1.9096434304219407
pvls,tangent_predictor_W0p601,81,0,0.4448552597568606
pvls,tangent_predictor_W0p601,91,0,-1.1253206018579931e-05
pvls,tangent_predictor_W0p601,92,0,-2.190126222306049e-09
