sample,parameter_index,diagnostic,fortran,python,abs_error
seed,67,k,16.34209419926291,16.34209410483832,9.442458903663464e-08
seed,68,Re,2.4491861194256677,2.449186022103759,9.732190875411106e-08
seed,75,S_i,1.002204673406744,1.002204673406744,0.0
seed,77,eta,1.0236055064521872,1.0236055064521872,0.0
seed,79,W_a,0.6000000238418579,0.6,2.384185793236071e-08
seed,80,U_a,1.9098623386953228,1.9098623386953228,0.0
seed,96,z_phys,9618.027532260936,9618.027532260936,0.0
seed,97,u_phys,1.9098623386953224,1.9098623386953224,0.0
seed,98,m_phys,1.0802293920592036e-09,1.0802293920592036e-09,0.0
tangent_predictor_W0p601,67,k,16.314883622110113,16.314883579531518,4.257859487211135e-08
tangent_predictor_W0p601,68,Re,2.4557804319306147,2.455780387051304,4.4879310490131274e-08
tangent_predictor_W0p601,75,S_i,1.0022079605282415,1.0022079605282446,3.1086244689504383e-15
tangent_predictor_W0p601,77,eta,1.0236142627831226,1.0236142627831262,3.552713678800501e-15
tangent_predictor_W0p601,79,W_a,0.6010000109672546,0.601,1.0967254659988157e-08
tangent_predictor_W0p601,80,U_a,1.9096434304219407,1.9096434304218484,9.237055564881302e-14
tangent_predictor_W0p601,96,z_phys,9618.071313915612,9618.07131391563,1.8189894035458565e-11
tangent_predictor_W0p601,97,u_phys,1.9096434304219403,1.9096434304217489,1.91402449445377e-13
tangent_predictor_W0p601,98,m_phys,1.0835684511371131e-09,1.08356845105057e-09,8.65431512029011e-20
task012_probe_W0p5,67,k,19.6105079921588,19.61050782527545,1.668833498058575e-07
task012_probe_W0p5,68,Re,1.8292362106633784,1.8292362189353155,8.27193713526242e-09
task012_probe_W0p5,75,S_i,1.0018838434404664,1.001883843435064,5.402345237826012e-12
task012_probe_W0p5,77,eta,1.0227508176438653,1.0227508176307896,1.3075762694825244e-11
task012_probe_W0p5,79,W_a,0.5,0.5,0.0
task012_probe_W0p5,80,U_a,1.9312295589033717,1.9312295592302604,3.268887383001129e-10
task012_probe_W0p5,96,z_phys,9613.754088219326,9613.754088153948,6.537811714224517e-08
task012_probe_W0p5,97,u_phys,1.9312295589033712,1.9312295592302613,3.2689007056774244e-10
task012_probe_W0p5,98,m_phys,7.765038320467693e-10,7.765038425629287e-10,1.0516159402611337e-17
task012_probe_W0p7,67,k,14.007513018519385,14.00751307723684,5.8717455786450046e-08
task012_probe_W0p7,68,Re,3.147467971546544,3.1474680231544627,5.160791882730109e-08
task012_probe_W0p7,75,S_i,1.0025434587051096,1.0025434586976623,7.44737604918555e-12
task012_probe_W0p7,77,eta,1.024507915260657,1.024507915241963,1.869415733324331e-11
task012_probe_W0p7,79,W_a,0.699999988079071,0.7000000000000001,1.1920929021691506e-08
task012_probe_W0p7,80,U_a,1.8873021184835785,1.887302118950931,4.673523790188483e-10
task012_probe_W0p7,96,z_phys,9622.539576303285,9622.539576209814,9.347058949060738e-08
task012_probe_W0p7,97,u_phys,1.887302118483578,1.8873021189509311,4.673530451526631e-10
task012_probe_W0p7,98,m_phys,1.4460766665366627e-09,1.446076663741387e-09,2.795275727568808e-18
task012_probe_W1p0,67,k,9.805268618593972,9.80526859935102,1.9242952120634982e-08
task012_probe_W1p0,68,Re,5.734185071640788,5.7341850776572,6.016412257281445e-09
task012_probe_W1p0,75,S_i,1.0037343812831518,1.0037343813290627,4.5910830692719173e-11
task012_probe_W1p0,77,eta,1.027679208251103,1.0276792083743236,1.2322054487867717e-10
task012_probe_W1p0,79,W_a,1.0,1.0,0.0
task012_probe_W1p0,80,U_a,1.8080197937224263,1.8080197906419109,3.0805153983237687e-09
task012_probe_W1p0,96,z_phys,9638.396041255515,9638.396041871618,6.161026249174029e-07
task012_probe_W1p0,97,u_phys,1.8080197937224258,1.808019790641913,3.0805127337885096e-09
task012_probe_W1p0,98,m_phys,3.016241388238103e-09,3.016241398393196e-09,1.0155092893882833e-17
