sample,W_a0,residual,fortran,python,abs_error
seed,0.6,du_dt_m_s2,4.4408366133990405e-16,4.440836587739895e-16,2.5659145543846095e-24
seed,0.6,dw_dt_m_s2,7.36244030655654e-08,-3.3407886337866426e-14,7.362443647345173e-08
seed,0.6,dlogm_dt_s_inv,-7.714339690412037e-11,-2.7263261042511445e-10,1.9548921352099407e-10
tangent_predictor_W0p601,0.601,du_dt_m_s2,4.433442351328436e-16,9.930910841057998e-14,9.886576417544714e-14
tangent_predictor_W0p601,0.601,dw_dt_m_s2,-1.8564797029767317e-06,-1.8902199347775583e-06,3.3740231800826586e-08
tangent_predictor_W0p601,0.601,dlogm_dt_s_inv,-2.7259381957197423e-06,-2.726051287844627e-06,1.1309212488469673e-10
task012_probe_W0p5,0.5,du_dt_m_s2,5.32900256460774e-16,-1.0658005038516982e-15,1.5987007603124721e-15
task012_probe_W0p5,0.5,dw_dt_m_s2,1.376567619387595e-08,2.5788543839756542e-14,1.376565040533211e-08
task012_probe_W0p5,0.5,dlogm_dt_s_inv,1.9277271500761407e-08,-5.794614065679509e-10,1.9856732907329356e-08
task012_probe_W0p7,0.7000000000000001,du_dt_m_s2,3.806432389681751e-16,-1.9032162028188806e-16,5.709648592500631e-16
task012_probe_W0p7,0.7000000000000001,dw_dt_m_s2,-3.432842716553115e-08,3.751060922146406e-14,3.4328464676140375e-08
task012_probe_W0p7,0.7000000000000001,dlogm_dt_s_inv,3.796385096785964e-09,-3.980141057943274e-10,4.1943992025802916e-09
task012_probe_W1p0,1.0,du_dt_m_s2,2.664505255858134e-16,-1.332252625314506e-15,1.5987031509003194e-15
task012_probe_W1p0,1.0,dw_dt_m_s2,3.1758864276680305e-09,1.2504513245936495e-12,3.174635976343437e-09
task012_probe_W1p0,1.0,dlogm_dt_s_inv,-2.0963664305706096e-08,-1.797277574125934e-10,2.07839365482935e-08
