run,point,label,z_W0_m,eigen_index,real_s_inv,imag_s_inv
z-minus,1,1,9000.0,1,-16.342092412595694,0.0
z-minus,1,1,9000.0,2,-18.718350672050338,0.0
z-minus,1,1,9000.0,3,-7.056056700532419e-06,0.00017121313290189395
z-minus,1,1,9000.0,4,-7.056056700532419e-06,-0.00017121313290189395
z-minus,11,3,8750.0000035,1,-16.342094183599478,0.0
z-minus,11,3,8750.0000035,2,-18.718354030275894,0.0
z-minus,11,3,8750.0000035,3,-7.060308591524164e-06,0.00017121305563338972
z-minus,11,3,8750.0000035,4,-7.060308591524164e-06,-0.00017121305563338972
z-minus,16,4,8499.9999785,1,-16.342094105697154,0.0
z-minus,16,4,8499.9999785,2,-18.718353956144515,0.0
z-minus,16,4,8499.9999785,3,-7.060337248303376e-06,0.00017121305455269963
z-minus,16,4,8499.9999785,4,-7.060337248303376e-06,-0.00017121305455269963
z-minus,26,6,7999.9999285,1,-16.342094105168705,0.0
z-minus,26,6,7999.9999285,2,-18.718353955255942,0.0
z-minus,26,6,7999.9999285,3,-7.0603374428743735e-06,0.00017121305453516816
z-minus,26,6,7999.9999285,4,-7.0603374428743735e-06,-0.00017121305453516816
z-minus,36,8,7499.9998785,1,-16.342094105168687,0.0
z-minus,36,8,7499.9998785,2,-18.718353955433574,0.0
z-minus,36,8,7499.9998785,3,-7.0603374422772975e-06,0.00017121305451955936
z-minus,36,8,7499.9998785,4,-7.0603374422772975e-06,-0.00017121305451955936
z-minus,46,10,6999.9998285,1,-16.342094105168666,0.0
z-minus,46,10,6999.9998285,2,-18.718353955344753,0.0
z-minus,46,10,6999.9998285,3,-7.060337442753202e-06,0.00017121305454807198
z-minus,46,10,6999.9998285,4,-7.060337442753202e-06,-0.00017121305454807198
z-minus,451,0,-13250.002197000002,1,-16.34209410516867,0.0
z-minus,451,0,-13250.002197000002,2,-18.718353955078292,0.0
z-minus,451,0,-13250.002197000002,3,-7.0603374426714736e-06,0.00017121305500162375
z-minus,451,0,-13250.002197000002,4,-7.0603374426714736e-06,-0.00017121305500162375
z-minus,900,96,-35700.004442,1,-16.34209410516869,0.0
z-minus,900,96,-35700.004442,2,-18.718353955344764,0.0
z-minus,900,96,-35700.004442,3,-7.060337442516346e-06,0.00017121305454085518
z-minus,900,96,-35700.004442,4,-7.060337442516346e-06,-0.00017121305454085518
z-plus,1,1,9000.0,1,-16.342092412595694,0.0
z-plus,1,1,9000.0,2,-18.718350672050338,0.0
z-plus,1,1,9000.0,3,-7.056056700532419e-06,0.00017121313290189395
z-plus,1,1,9000.0,4,-7.056056700532419e-06,-0.00017121313290189395
z-plus,11,3,9250.00000073,1,-16.343821386277085,0.0
z-plus,11,3,9250.00000073,2,-18.72000950738183,0.0
z-plus,11,3,9250.00000073,3,-6.425206810862671e-06,0.00017123610663976422
z-plus,11,3,9250.00000073,4,-6.425206810862671e-06,-0.00017123610663976422
z-plus,12,0,9299.99996603,1,-16.346788069441327,0.0
z-plus,12,0,9299.99996603,2,-18.72285300231272,0.0
z-plus,12,0,9299.99996603,3,-5.335597318282786e-06,0.00017127016493460165
z-plus,12,0,9299.99996603,4,-5.335597318282786e-06,-0.00017127016493460165
z-plus,17,4,9500.00000217,1,-16.592717300618734,0.0
z-plus,17,4,9500.00000217,2,-18.95861407795406,0.0
z-plus,17,4,9500.00000217,3,7.973239700710472e-05,0.00015139691968441991
z-plus,17,4,9500.00000217,4,7.973239700710472e-05,-0.00015139691968441991
z-plus,22,0,9710.18590267,1,-25.319842573195892,0.0
z-plus,22,0,9710.18590267,2,-27.38491164701954,0.0
z-plus,22,0,9710.18590267,3,0.0017040338584256574,0.0
z-plus,22,0,9710.18590267,4,1.7800415551664818e-05,0.0
