run,direction,branch,point,ty,type,label,is_user_point,is_special_point,q_zW0_scaled,z_W0_m,z_W0_km,scaled_l2_norm,Z_scaled,U_scaled,P_log_ratio_over_10,M_log_ratio,z_m,u_m_s,m_kg,smoothed_W_a_m_s,piecewise_W_a_m_s,updraft_difference_m_s,distance_to_z_W0_m,distance_to_ramp_base_m,smooth_width_m
z-minus,downward,1,1,9,EP,1,False,False,0.0,9000.0,9.0,0.0,0.0,0.0,0.0,0.0,9618.027532260936,1.9098623386953224,1.0802293920592052e-09,0.5999995726317209,0.6,-4.273682790989497e-07,618.0275322609359,918.0275322609359,50.0
z-minus,downward,1,11,-4,UZ,3,True,False,-0.2499999965,8750.0000035,8.750000003499999,1.6849565534e-09,-1.2803913377e-09,6.401936671e-10,-8.8872306028e-10,-8.8872306028e-09,9618.027532132897,1.909862339335516,1.0802293824589576e-09,0.5999999971204086,0.6,-2.879591343152299e-09,868.0275286328979,1168.0275286328979,50.0
z-minus,downward,1,16,-4,UZ,4,True,False,-0.5000000215,8499.9999785,8.4999999785,3.0831096932e-11,-2.7053855406e-11,1.352158525e-11,-5.9843276992e-12,-5.9843276992e-11,9618.027532258231,1.909862338708844,1.0802293919945608e-09,0.5999999999805975,0.6,-1.940247962295416e-11,1118.027553758231,1418.027553758231,50.0
z-minus,downward,1,26,-4,UZ,6,True,False,-1.0000000715,7999.9999285,7.9999999285,3.8602787402e-11,-3.4528020429e-11,1.7262412935e-11,1.0008046076e-14,1.0008046076e-13,9618.027532257483,1.9098623387125848,1.0802293920593134e-09,0.5999999999999992,0.6,-7.771561172376096e-16,1618.0276037574831,1918.0276037574831,50.0
z-minus,downward,1,36,-4,UZ,8,True,False,-1.5000001215,7499.9998785,7.4999998785,1.0218107422e-10,9.1394440893e-11,-4.569492899e-11,-3.9594430242e-14,-3.9594430241999997e-13,9618.027532270075,1.9098623386496274,1.0802293920587776e-09,0.6,0.6,0.0,2118.0276537700747,2418.0276537700747,50.0
z-minus,downward,1,46,-4,UZ,10,True,False,-2.0000001715,6999.9998285,6.9999998285,3.8834426248e-11,-3.4733795226e-11,1.7368823224e-11,1.0537720181e-14,1.0537720181e-13,9618.027532257462,1.9098623387126912,1.0802293920593192e-09,0.6,0.6,0.0,2618.0277037574615,2918.0277037574615,50.0
z-minus,downward,1,451,0,regular,0,False,False,-22.250002197,-13250.002197000002,-13.250002197000002,3.4445348916e-11,-3.081095774e-11,1.540022289e-11,8.9460303899e-15,8.9460303899e-14,9618.027532257855,1.9098623387107225,1.0802293920593018e-09,0.6,0.6,0.0,22868.029729257854,23168.029729257854,50.0
z-minus,downward,1,900,9,EP,96,False,False,-44.700004442,-35700.004442,-35.700004442,6.4889848008e-11,-5.8040517869e-11,2.9017068767e-11,1.9495278119e-14,1.9495278119e-13,9618.027532255132,1.9098623387243394,1.0802293920594157e-09,0.6,0.6,0.0,45318.03197425513,45618.03197425513,50.0
z-plus,upward,1,1,9,EP,1,False,False,0.0,9000.0,9.0,0.0,0.0,0.0,0.0,0.0,9618.027532260936,1.9098623386953224,1.0802293920592052e-09,0.5999995726317209,0.6,-4.273682790989497e-07,618.0275322609359,918.0275322609359,50.0
z-plus,upward,1,11,-4,UZ,3,True,False,0.25000000073,9250.00000073,9.250000000730001,3.6693636093e-05,-2.7761752419e-05,1.3880876211e-05,-1.9571134561e-05,-0.00019571134561,9618.024756085693,1.9098762195715333,1.080017999597944e-09,0.5999365894733656,0.6,-6.341052663438873e-05,368.02475535569283,668.0247553556928,50.0
z-plus,upward,1,12,0,regular,0,False,False,0.29999996603,9299.99996603,9.29999996603,9.969814581e-05,-7.5427729718e-05,3.7713864857e-05,-5.3179340586e-05,-0.00053179340586,9618.019989487964,1.9099000525601795,1.0796550859113379e-09,0.59982771030912,0.6,-0.000172289690880012,318.02002345796427,618.0200234579643,50.0
z-plus,upward,1,17,-4,UZ,4,True,False,0.50000000217,9500.00000217,9.50000000217,0.0052435049493,-0.0039580729769,0.0019790364884,-0.0028127241317,-0.028127241317,9617.631724963247,1.9118413751837224,1.0502688482212304e-09,0.5909373401183066,0.6,-0.009062659881693413,117.63172279324681,417.6317227932468,50.0
z-plus,upward,1,22,0,regular,0,False,False,0.71018590267,9710.18590267,9.71018590267,0.12613795231,-0.089221424981,0.04461071249,-0.077202361814,-0.77202361814,9609.105389762835,1.9544730511853223,4.991492151855509e-10,0.3872556122313718,0.39783897418566994,-0.010583361954298154,-101.08051290716503,198.91948709283497,50.0
