run,step_index,accepted,W_a0_m_s,lambda_W_a0_scaled,z_m,u_m_s,w_m_s,m_kg,log_m_kg,scaled_x0_z,scaled_x1_u,scaled_x2_w,scaled_x3_log_m,physical_residual_norm,transformed_residual_norm,scaled_residual_norm,max_abs_scaled_residual,critical_real_s_inv,critical_imag_s_inv,stable_eigenvalue_count,branch_jacobian_condition,branch_min_singular_value,branch_max_singular_value,tangent_lambda_W_a0,ds_scaled,corrector_iterations,corrector_reason
downward,0,True,0.6,0.0,9618.027532260936,1.9098623386953224,-2.908453631176365e-21,1.0802293920592036e-09,-20.646092418309163,0.0,0.0,0.0,0.0,2.0263468210561267e-13,2.0263498672936824e-13,3.513613661042118e-08,3.51361307673175e-08,-7.060337442780258e-06,0.0001712130545410668,4,1963.7410180763015,0.958282846091975,1881.8193317897108,-0.9544834174768454,0.0,0,seed
downward,1,True,0.5809299259618237,-0.190700740381763,9617.196858877604,1.9140157056119813,-2.2632298082177806e-24,1.017769124731051e-09,-20.70565273753454,-0.00830673383332849,0.0041533669166588525,2.906190401368147e-20,-0.05956031922537592,7.109850031437046e-14,7.110328263921093e-14,8.246545483006685e-08,8.246545452357507e-08,-6.708773891543663e-06,0.00017207068877232972,4,2031.9360226423876,0.956606878024707,1943.7639749658747,-0.9524807356726488,0.2,3,converged
downward,2,True,0.5571514677112434,-0.4284853228875663,9616.17234866986,1.9191382566507025,-2.2632298082177806e-24,9.42959510111369e-10,-20.781997771532545,-0.018551835910770326,0.00927591795538015,2.906190401368147e-20,-0.13590535322338274,3.6407945261900986e-13,3.6407992192639335e-13,5.845773716276168e-08,5.845772582518114e-08,-6.2835171804518405e-06,0.00017313649611995393,4,2123.972132701906,0.9543158945984845,2026.9403659216705,-0.9497191595476283,0.25,3,converged
downward,3,True,0.5275317516653732,-0.7246824833462674,9614.91192917451,1.925440354127444,-5.420623733412804e-23,8.543915876854959e-10,-20.880631493644806,-0.031156030864253583,0.015578015432121563,2.854247393842237e-20,-0.23453907533564194,3.2538942641619266e-12,3.2538943004769266e-12,4.8614908002034917e-08,4.8613819041168686e-08,-5.774617081882237e-06,0.00017445860403249893,4,2251.096609169044,0.9511049661939138,2141.0291643629575,-0.9458012783480148,0.3125,3,converged
downward,4,True,0.4945145469241129,-1.0548545307588708,9613.524799033712,1.9323760048314442,-5.420623733412804e-23,7.614826493008674e-10,-20.99575372875,-0.04502733227224549,0.0225136661361218,2.854247393842237e-20,-0.34966131044083804,1.2786519725520521e-11,1.2786519728702099e-11,2.85527767045062e-08,2.852413200555769e-08,-5.235301521437254e-06,0.00017592508914642918,4,2412.2151579837996,0.9469751945011833,2284.3079184104113,-0.9406791127174063,0.35,3,converged
downward,5,True,0.4616923203465543,-1.3830767965344568,9612.161194050856,1.9391940297457224,5.534772395377679e-23,6.749622621119082e-10,-21.116364334601286,-0.05866338210080762,0.029331691050399948,2.963801355130142e-20,-0.47027191629212467,2.149752219237004e-11,2.1497522194979477e-11,3.356411506080749e-08,3.349519943530729e-08,-4.729212065292437e-06,0.00017737507739488191,4,2597.2356208573688,0.9421758435297812,2447.0526619268867,-0.9346055951901896,0.35,3,converged
downward,6,True,0.4291021717355661,-1.7089782826443385,9610.81872654107,1.9459063672946502,5.534772395377679e-23,5.94589011634651e-10,-21.243150685799943,-0.07208805719865337,0.03604402859932771,2.963801355130142e-20,-0.5970582674907791,3.691809253149438e-11,3.691809253153026e-11,6.334253944203756e-09,5.147165964685909e-09,-4.257160674120159e-06,0.0001788065981484863,4,2811.6100240984006,0.9365744120060233,2633.2820051102008,-0.9273470359826919,0.35,3,converged
downward,7,True,0.3967904993362511,-2.0320950066374888,9609.495161549714,1.9525241922514267,-1.0651974647036e-22,5.201459870281689e-10,-21.376911599469437,-0.08532370711221518,0.0426618535561043,2.801933884706005e-20,-0.7308191811602737,6.490817168141983e-11,6.490817168144975e-11,8.998390288180619e-09,6.490807891168515e-09,-3.8198943910484445e-06,0.00018021700211211367,4,3062.4652007287173,0.9300117423758109,2848.128597295002,-0.9186002731561217,0.35,3,converged
downward,8,True,0.3648157888228719,-2.35184211177128,9608.18847742375,1.95905761288125,8.809587531810045e-23,4.514416088898889e-10,-21.51857507836765,-0.09839054837185973,0.04919527418592765,2.996549506494465e-20,-0.8724826600584871,1.1682568601820956e-10,1.1682568601985983e-10,6.318522533412481e-08,6.209581540963832e-08,-3.4180849564935458e-06,0.00018160276375144856,4,3359.222603180789,0.9222997496140141,3098.2101658113784,-0.907970533456734,0.35,3,converged
downward,9,True,0.33325227076767333,-2.6674772923232664,9606.896964239708,1.9655151788014584,1.7782948136028298e-27,3.8831046586565736e-10,-21.669215926513573,-0.11130568021227835,0.05565284010613599,2.9084554094711783e-20,-1.023123508204412,6.819146076068731e-14,6.819650668851459e-14,8.295805234620578e-08,8.29580520659391e-08,-3.052318186643087e-06,0.0001829592138184843,4,3714.498191715931,0.9132225754593073,3392.1636051777623,-0.8949437436897579,0.35,4,converged
