run,step_index,accepted,H_a3,W_a0_m_s,lambda_H_a3_scaled,z_m,u_m_s,w_m_s,m_kg,log_m_kg,scaled_x0_z,scaled_x1_u,scaled_x2_w,scaled_x3_log_m,physical_residual_norm,transformed_residual_norm,scaled_residual_norm,max_abs_scaled_residual,critical_real_s_inv,critical_imag_s_inv,stable_eigenvalue_count,complex_pair_count,tracked_pair_real_s_inv,tracked_pair_imag_abs_s_inv,branch_jacobian_condition,branch_min_singular_value,branch_max_singular_value,tangent_lambda_H_a3,ds_scaled,corrector_iterations,corrector_reason
downward,0,True,0.61,0.6,0.0,9618.027532260936,1.9098623386953224,-2.908453631176365e-21,1.0802293920592036e-09,-20.646092418309163,0.0,0.0,0.0,0.0,2.0263468210561267e-13,2.0263498672936824e-13,3.513613661042118e-08,3.51361307673175e-08,-7.060337442780258e-06,0.0001712130545410668,4,1,-7.060337442780258e-06,0.0001712130545410668,2838.9464858136444,0.9553872501062093,2712.2932762801843,-0.30568261210124686,0.0,0,seed
downward,1,True,0.6093902158988577,0.6,-0.060978410114231454,9635.064246882928,1.824678765585358,-4.9061705897557994e-29,1.0795006331763752e-09,-20.646767279427888,0.17036714621992144,-0.08518357310996431,2.908453582114659e-20,-0.000674861118723586,4.77049365542113e-14,4.771377761085677e-14,9.184782301433153e-08,9.184782289044395e-08,-7.145407449853762e-06,0.00017090573012179457,4,1,-7.145407449853762e-06,0.00017090573012179457,2842.7828728788027,0.9553891267210477,2715.9638463772303,-0.3041018394885395,0.2,3,converged
downward,2,True,0.6086324081208757,0.6,-0.13675918791243116,9656.372767130322,1.7181361643483883,-1.5970147421898662e-28,1.0785912239699987e-09,-20.647610069559544,0.38345234869385986,-0.1917261743469341,2.9084534714748904e-20,-0.001517651250380858,3.5616043168591626e-14,3.5628538896297506e-14,9.435321400305544e-08,9.435321393583448e-08,-7.251333310573741e-06,0.0001705230276486579,4,1,-7.251333310573741e-06,0.0001705230276486579,2847.7908899856698,0.9553863059224266,2720.7404184229486,-0.3021450960690914,0.25,3,converged
downward,3,True,0.6076919984993202,0.6,-0.23080015006797952,9683.027837732543,1.584860811337288,-8.335724179851597e-28,1.0774568753534367e-09,-20.648662317625423,0.6500030547160693,-0.3250015273580344,2.9084527976039467e-20,-0.0025698993162598625,2.924609262050765e-14,2.9246096570755845e-14,1.520064209575373e-09,1.5200613960931539e-09,-7.383096929342814e-06,0.00017004690473750183,4,1,-7.383096929342814e-06,0.00017004690473750183,2854.3508857364295,0.9553749109776916,2726.9752233595364,-0.29971946161700896,0.3125,3,converged
downward,4,True,0.6066476824754037,0.6,-0.3352317524596313,9712.906646052852,1.4354667697357424,4.5167342728549315e-28,1.0761895995231985e-09,-20.649839182994263,0.9487911379191646,-0.47439556895958007,2.908454082849792e-20,-0.0037467646851021734,4.0269807589021604e-14,4.0276607324161764e-14,7.400637063932463e-08,7.400637052976261e-08,-7.529822307693469e-06,0.0001695165968715987,4,1,-7.529822307693469e-06,0.0001695165968715987,2862.096237699579,0.9553520899458755,2734.30962231252,-0.29703447376777325,0.35,3,converged
downward,5,True,0.6056127071572543,0.6,-0.4387292842745603,9742.811443891896,1.285942780540517,-6.194951337251578e-29,1.0749257121891052e-09,-20.65101428269501,1.2478391163096092,-0.6239195581548055,2.9084535692268514e-20,-0.004921864385845996,4.3689103477396265e-14,4.36891195986317e-14,3.753194393028718e-09,3.7531918502102425e-09,-7.675648948398216e-06,0.00016898937990038996,4,1,-7.675648948398216e-06,0.00016898937990038996,2870.2586236774496,0.955319011551476,2742.012631268641,-0.29438366330234156,0.35,3,converged
downward,6,True,0.6045869611989789,0.6,-0.5413038801021026,9772.741670351052,1.1362916482447396,3.551739479585805e-29,1.0736652256401536e-09,-20.652187597420827,1.5471413809011556,-0.7735706904505829,2.90845366669376e-20,-0.0060951791116647175,5.808649046332368e-14,5.80865326198027e-14,6.998177608613713e-09,6.998175197956865e-09,-7.820576249948176e-06,0.00016846522454629952,4,1,-7.820576249948176e-06,0.00016846522454629952,2878.808906047997,0.9552760462141925,2750.0571895757353,-0.2917624275841042,0.35,3,converged
downward,7,True,0.6035703345201792,0.6,-0.6429665479820854,9802.696777427838,0.9865161128608063,1.1857771164902863e-28,1.0724081513179446e-09,-20.65335910859046,1.8466924516690222,-0.9233462258345161,2.9084537497540765e-20,-0.007266690281299399,3.847236892664805e-14,3.847365646979803e-14,3.1475598389442146e-08,3.147559815431982e-08,-7.964603749847467e-06,0.0001679441028838467,4,1,-7.964603749847467e-06,0.0001679441028838467,2887.7590418296695,0.955223568650624,2758.4554973396434,-0.2891716855433121,0.35,3,converged
downward,8,True,0.6025627182986892,0.6,-0.7437281701310764,9832.676229965296,0.8366188501735192,5.141689779084292e-30,1.0711544998319059e-09,-20.654528798338788,2.146486977043612,-1.0732434885218032,2.9084536363180547e-20,-0.008436380029624786,7.257441170327575e-15,7.258506331268444e-15,1.2434556828081708e-08,1.2434556806902645e-08,-8.107731119992097e-06,0.00016742598653205021,4,1,-8.107731119992097e-06,0.00016742598653205021,2897.076227093029,0.9551619298978642,2767.1769201314005,-0.2866131143529739,0.35,3,converged
downward,9,True,0.6015640049682301,0.6,-0.8435995031769805,9862.679505389486,0.6866024730525684,3.589553872721814e-30,1.0699042809831226e-09,-20.655696649499234,2.4465197312855,-1.223259865642754,2.908453634765919e-20,-0.009604231190072076,8.824126262490856e-14,8.82448897202332e-14,8.000825618773397e-08,8.000825570112666e-08,-8.249958165479652e-06,0.00016691084891181163,4,1,-8.249958165479652e-06,0.00016691084891181163,2906.756797927131,0.95509148395992,2776.218663642809,-0.2840841719082315,0.35,4,converged
downward,10,True,0.6005740882257324,0.6,-0.9425911774267595,9892.706093256382,0.536469533718088,-5.813168457915831e-23,1.0686575037949716e-09,-20.656862645579665,2.7467856099544656,-1.3733928049772344,2.8503219465972065e-20,-0.010770227270503049,4.144432731592873e-12,4.1444327517592075e-12,4.088682075282595e-08,4.088472022708547e-08,-8.391284815721607e-06,0.00016639865958987087,4,1,-8.391284815721607e-06,0.00016639865958987087,2916.785698567478,0.955012570932557,2785.567008848241,-0.2815870832911088,0.35,2,converged
downward,11,True,0.6000128957986485,0.6,-0.9987104201351479,9909.857094946507,0.45071452526747113,7.269382120374388e-23,1.067947324714454e-09,-20.657527419053164,2.9182956268557048,-1.4591478134278513,2.981147452380109e-20,-0.01143500074400083,4.4835415735102736e-13,4.48355161978412e-13,9.491358908172418e-08,9.491357849201497e-08,-8.471557746148041e-06,0.00016610758840387115,4,1,-8.471557746148041e-06,0.00016610758840387115,2922.664556634122,0.9549638574429292,2791.0390190150497,-0.2801739144926638,0.19979839083605297,2,converged
downward,12,True,0.5999988879940723,0.6,-1.000111200592764,9910.286397055695,0.44856801472152363,-1.6220668537204665e-27,1.0679295667603105e-09,-20.657544047309422,2.922588647947594,-1.4612943239737988,2.908452009109511e-20,-0.011451629000258574,4.040195187308091e-15,4.084984791103776e-15,6.032607993380854e-08,6.032607993245563e-08,-8.47356283083627e-06,0.00016610031607037652,4,1,-8.47356283083627e-06,0.00016610031607037652,2922.8175173767922,0.9549626082557067,2791.181439849611,-0.28013864624601087,0.005,2,converged
upward,0,True,0.61,0.6,0.0,9618.027532260936,1.9098623386953224,-2.908453631176365e-21,1.0802293920592036e-09,-20.646092418309163,0.0,0.0,0.0,0.0,2.0263468210561267e-13,2.0263498672936824e-13,3.513613661042118e-08,3.51361307673175e-08,-7.060337442780258e-06,0.0001712130545410668,4,1,-7.060337442780258e-06,0.0001712130545410668,2838.9464858136444,0.9553872501062093,2712.2932762801843,0.30568261210124686,0.0,0,seed
upward,1,True,0.6106129523724333,0.6,0.06129523724333205,9600.999915753246,1.9950004212337715,1.3414912683561425e-29,1.0809592426813613e-09,-20.64541700234762,-0.17027616507690774,0.08513808253844919,2.9084536445912773e-20,0.0006754159615409972,1.4943149520826772e-14,1.4971217405125993e-14,9.163148967387867e-08,9.163148966169413e-08,-6.974974913175281e-06,0.00017152141754790768,4,1,-6.974974913175281e-06,0.00017152141754790768,2835.253681048395,0.9553816175454944,2708.749247951833,0.3072725332327861,0.2,3,converged
upward,2,True,0.6113836314997833,0.6,0.13836314997833138,9579.72835885258,2.101358205737101,6.768943724125332e-30,1.0818730869199744e-09,-20.644571958300066,-0.3829917340835535,0.19149586704177873,2.9084536379453084e-20,0.0015204600090952714,3.173782621123221e-14,3.174246410694558e-14,5.426001910774654e-08,5.426001901492593e-08,-6.86786070482231e-06,0.0001719083410278414,4,1,-6.86786070482231e-06,0.0001719083410278414,2830.8452946457337,0.9553691798826718,2704.502347520415,0.309273426846611,0.25,3,converged
upward,3,True,0.612354055109324,0.6,0.2354055109323916,9553.159492277373,2.2342025386131543,5.787168891275916e-23,1.0830177757809035e-09,-20.64351445559882,-0.6486803998356212,0.32434019991783175,2.966325320089124e-20,0.0025779627103429117,3.0389083905763654e-12,3.038908394268946e-12,1.4984012710448548e-08,1.498093078766538e-08,-6.733326356674913e-06,0.0001723943058775671,4,1,-6.733326356674913e-06,0.0001723943058775671,2825.666854216602,0.9553449858874515,2699.4866609641995,0.3118009073515604,0.3125,2,converged
upward,4,True,0.6134503588839484,0.6,0.3450358883948445,9523.430038758079,2.3828498062096144,2.6429558556848647e-28,1.0843029568983542e-09,-20.64232849244283,-0.94597493502858,0.472987467514292,2.9084538954719505e-20,0.003763925866335553,1.3790024858725906e-13,1.3790024866703504e-13,4.692682602429154e-10,4.690655980625826e-10,-6.581802779265594e-06,0.00017294165951115166,4,1,-6.581802779265594e-06,0.00017294165951115166,2820.3113453492488,0.9553061395424377,2694.2607436333296,0.3146628783745288,0.35,3,converged
upward,5,True,0.6145567404142648,0.6,0.45567404142647777,9493.730466630841,2.531347666845791,-4.17368466327254e-30,1.0855914266189416e-09,-20.64114090480556,-1.2429706563009522,0.6214853281504683,2.90845362700268e-20,0.004951513503601613,9.43615218505712e-14,9.436192151278259e-14,2.746372837379252e-08,2.7463726752727646e-08,-6.429387849600138e-06,0.00017349228734436073,4,1,-6.429387849600138e-06,0.00017349228734436073,2815.4378617697166,0.9552544707230934,2689.4596044985888,0.31755983393566944,0.35,4,converged
upward,6,True,0.6156733201746256,0.6,0.5673320174625656,9464.061442540686,2.6796927872965677,3.4996776811438187e-29,1.0868831655187301e-09,-20.639951718007527,-1.5396608972024997,0.7698304486012452,2.908453666173142e-20,0.006140700301636004,1.0174156628280388e-13,1.0174178000920858e-13,2.085420206313416e-08,2.0854199581296953e-08,-6.276083337696262e-06,0.00017404621912040115,4,1,-6.276083337696262e-06,0.00017404621912040115,2811.0617956168708,0.9551895491062488,2685.0968490650807,0.32049056941900045,0.35,3,converged
upward,7,True,0.6168002198455769,0.6,0.680021984557683,9434.423648728292,2.8278817563585363,-2.1947187948575597e-28,1.0881781530860976e-09,-20.638760958271877,-1.8360388353264365,0.9180194176632142,2.908453411704485e-20,0.007331460037283986,1.2434497875801753e-14,1.2436018421433367e-14,1.9446530555954288e-08,1.9446530516199965e-08,-6.121891196020158e-06,0.00017460348502417212,4,1,-6.121891196020158e-06,0.00017460348502417212,2807.1968739271,0.9551109377112766,2681.184438596677,0.3234569318160599,0.35,3,converged
upward,8,True,0.6179375622984321,0.6,0.7937562298432155,9404.81778351308,2.9759110824346062,-6.406363740459396e-28,1.0894763676845025e-09,-20.637568652752506,-2.1320974874785725,1.0660487437392838,2.908452990539991e-20,0.008523765556655303,2.0844097199647793e-14,2.084640195087721e-14,3.099777888925208e-08,3.099777881917022e-08,-5.966813561795562e-06,0.00017516411395988022,4,1,-5.966813561795562e-06,0.00017516411395988022,2803.8418223785516,0.9550181926741739,2677.7199497522265,0.32645794860121374,0.35,3,converged
upward,9,True,0.6190854715834252,0.6,0.908547158342526,9375.244561477204,3.12377719261398,3.1155006877165524e-28,1.0907777865273238e-09,-20.636374829550864,-2.4278297078373177,1.2139148539186575,2.9084539427264334e-20,0.009717588758299598,2.5999154322848924e-14,2.600094186259715e-14,3.04880697189978e-08,3.0488069608141976e-08,-5.810852761812515e-06,0.00017572813514756382,4,1,-5.810852761812515e-06,0.00017572813514756382,2801.0148621817702,0.9549108641811341,2674.7195226301947,0.3294948770906527,0.35,3,converged
upward,10,True,0.6202440729092452,0.6,1.0244072909245243,9345.704713906933,3.2714764304653334,-7.68375266123469e-29,1.0920823856409808e-09,-20.635179517743335,-2.7232281835400345,1.3616140917700108,2.908453554338838e-20,0.010912900565827355,1.5461832675803414e-14,1.547393918626609e-14,6.119838608641085e-08,6.119838606687861e-08,-5.65401131999207e-06,0.00017629557913924132,4,1,-5.65401131999207e-06,0.00017629557913924132,2798.724735447933,0.9547884961558886,2672.190181312619,0.3325682874497472,0.35,3,converged
upward,11,True,0.621413492626151,0.6,1.141349262615097,9316.198989092678,3.419005054536612,3.439036297381508e-28,1.0933901398336909e-09,-20.633982747403234,-3.0182854316825845,1.5091427158412898,2.9084539750799945e-20,0.01210967090592762,3.552713678800501e-15,3.62673035974078e-15,7.289709313422037e-08,7.289709313335464e-08,-5.496291963475501e-06,0.00017686647550938997,4,1,-5.496291963475501e-06,0.00017686647550938997,2796.984944917806,0.9546506278070392,2670.1434336326206,0.3356765442570091,0.35,3,converged
upward,12,True,0.6225938582089485,0.6,1.259385820894854,9286.72815254405,3.5663592372797464,2.683407557853723e-29,1.094701022667665e-09,-20.632784549619455,-3.3129937971688554,1.6564968985844237,2.9084536580104404e-20,0.013307868689707139,2.951389195241028e-14,2.951536656244802e-14,2.950341302254025e-08,2.9503412874918376e-08,-5.33769762533086e-06,0.00017744085423223715,4,1,-5.33769762533086e-06,0.00017744085423223715,2795.8032011689015,0.9544967920219016,2668.58518664028,0.33882280742264453,0.35,3,converged
upward,13,True,0.6237852982229498,0.6,1.378529822294978,9257.292987566076,3.713535062169626,-7.094893073201566e-30,1.0960150064147014e-09,-20.631584956530105,-3.6073454469486106,1.8036727234743035,2.9084536240814716e-20,0.014507461779058392,1.1645414912003325e-13,1.1645425609996535e-13,1.578497353042707e-08,1.578496923470536e-08,-5.178231453081965e-06,0.0001780187447787398,4,1,-5.178231453081965e-06,0.0001780187447787398,2795.1929244464086,0.9543265189382322,2667.526733347718,0.34200528013881026,0.35,4,converged
upward,14,True,0.6249879423117329,0.6,1.4987942311732967,9227.894295341946,3.860528523290278,4.131812113810374e-28,1.0973320620332737e-09,-20.630384001336267,-3.9013323691899005,1.9506661845949558,2.908454044357576e-20,0.015708416972894917,1.306773818464768e-13,1.306784572803721e-13,5.301612445360177e-08,5.301612284309378e-08,-5.017896814812902e-06,0.00017860017732217903,4,1,-5.017896814812902e-06,0.00017860017732217903,2795.1581370901654,0.9541393312695851,2666.9703157159497,0.3452245551467297,0.35,3,converged
upward,15,True,0.6262019211630099,0.6,1.62019211630099,9198.53289538245,4.007335523087757,9.401448464543251e-30,1.0986521591288128e-09,-20.629181718330923,-4.194946368784865,2.0974731843924346,2.908453640577813e-20,0.016910699978240934,1.742080081405615e-13,1.7420925070322297e-13,6.579743967580998e-08,6.57974373696085e-08,-4.856697303138436e-06,0.0001791851809680008,4,1,-4.856697303138436e-06,0.0001791851809680008,2795.7125168393686,0.9539347511554854,2666.927324053439,0.3484818935927795,0.35,3,converged
upward,16,True,0.6274273664761967,0.6,1.7427366476196677,9169.209625890006,4.15395187054998,2.324628494734165e-28,1.0999752659172904e-09,-20.627978142924626,-4.488179063709301,2.244089531854657,2.9084538636392144e-20,0.018114275384535933,8.708572496975994e-14,8.70900050868095e-14,8.634190867816059e-08,8.634190823898085e-08,-4.694636744781314e-06,0.00017977378583086874,4,1,-4.694636744781314e-06,0.00017977378583086874,2796.857808459488,0.9537122914202792,2667.3976692825986,0.35177711336725814,0.35,3,converged
