iteration,residual_norm,augmented_norm,correction_norm,jacobian_condition,min_singular_value,linear_solver,stage_index,smooth_width_m,run,step_index,z_W0_m,ds_scaled
0,89.52129028499698,89.52129028499698,0.16004555245637545,1899.8376491711256,0.9438215684462495,solve,1,300.0,downward,1,8790.465815159925,0.16
1,3.7373167864342154,3.7373167864342154,0.00624189422730095,2099.3540283155035,0.9356405110601217,solve,1,300.0,downward,1,8790.465815159925,0.16
2,0.006906544335765199,0.006906544335765199,1.1096624460945257e-05,2091.4552442381805,0.935955331557189,solve,1,300.0,downward,1,8790.465815159925,0.16
3,1.9755268863978103e-08,1.9755268863978103e-08,0.0,2091.443212757696,0.9359557918983443,not_needed,1,300.0,downward,1,8790.465815159925,0.16
0,7.07959523852975,7.07959523852975,0.011856713187525935,2011.4874381601696,0.9482400355358843,solve,1,300.0,downward,2,8593.171177604812,0.2
1,0.026034827337527332,0.026034827337527332,4.387072763396373e-05,2026.0409461025422,0.948189225072434,solve,1,300.0,downward,2,8593.171177604812,0.2
2,3.60564899061067e-07,3.60564899061067e-07,6.051375653758704e-10,2025.98912071653,0.9481893731215586,solve,1,300.0,downward,2,8593.171177604812,0.2
3,5.848181720287871e-08,5.848181720287871e-08,0.0,2025.9883408848825,0.9481893631368855,not_needed,1,300.0,downward,2,8593.171177604812,0.2
0,4.6972282307949875,4.6972282307949875,0.007874123795176559,1986.9912672326548,0.9519757454360566,solve,1,300.0,downward,3,8373.922315433294,0.22
1,0.011817071508253098,0.011817071508253098,1.997043494464718e-05,1996.5317679850511,0.9520087455900915,solve,1,300.0,downward,3,8373.922315433294,0.22
2,1.0190673089472495e-07,1.0190673089472495e-07,1.5917253500298915e-10,1996.508208970705,0.9520086442101988,solve,1,300.0,downward,3,8373.922315433294,0.22
3,1.952403796302871e-09,1.9524037963028716e-09,0.0,1996.5082084563212,0.952008644203731,not_needed,1,300.0,downward,3,8373.922315433294,0.22
0,2.33914462941407,2.33914462941407,0.003913098800246829,1977.939386793278,0.9536924539160577,solve,1,300.0,downward,4,8154.098975589798,0.22
1,0.00293917589290988,0.00293917589290988,4.9683194370877065e-06,1982.6647310816454,0.9537141935962372,solve,1,300.0,downward,4,8154.098975589798,0.22
