iteration,residual_norm,correction_norm,state_jacobian_condition,state_jacobian_min_singular_value,linear_solver,step_factor,experiment,z_W0_m,smooth_width_m
0,92.53139176135612,0.1389984440375354,3294.2312447352965,0.9194888484526444,solve,1.0,fixed_z_width_path,9600.0,200.0
1,4.003028113802956,0.006699308638658248,3017.5941798202207,0.918686865606048,solve,1.0,fixed_z_width_path,9600.0,200.0
2,0.009152017830435042,1.5030779940994296e-05,3005.0682472023373,0.9186413504310603,solve,1.0,fixed_z_width_path,9600.0,200.0
3,8.02085946366482e-08,3.4804061372782867e-11,3005.041564301175,0.9186412245542089,solve,0.5,fixed_z_width_path,9600.0,200.0
4,4.270074393193779e-08,1.2747290566658683e-11,3005.0415667589864,0.9186412246031923,solve,0.25,fixed_z_width_path,9600.0,200.0
5,1.3469208764171471e-08,1.1302959292267454e-11,3005.0415724902396,0.9186412248225179,solve,0.5,fixed_z_width_path,9600.0,200.0
0,73.43298587044754,0.11348565157308177,2999.8992571487174,0.926297707424676,solve,1.0,fixed_z_width_path,9600.0,150.0
1,2.5891828179790664,0.004408170064919587,2793.7210816122215,0.9256275127264098,solve,1.0,fixed_z_width_path,9600.0,150.0
2,0.00387341076451287,6.513363757714234e-06,2786.148358272532,0.9255969222922066,solve,1.0,fixed_z_width_path,9600.0,150.0
3,1.7345641589431057e-08,7.530846728769687e-12,2786.138812935344,0.9255968985008025,solve,0.5,fixed_z_width_path,9600.0,150.0
0,104.85239103865744,0.15903224881004077,2784.8123207603735,0.9354333795237443,solve,1.0,fixed_z_width_path,9600.0,100.0
1,5.086508017936147,0.008802991878627589,2522.142431213147,0.9344985501056707,solve,1.0,fixed_z_width_path,9600.0,100.0
2,0.014949580850078985,2.6016236791967076e-05,2508.656377693609,0.9344373170110705,solve,1.0,fixed_z_width_path,9600.0,100.0
3,1.6879944031788107e-07,2.482226575246773e-10,2508.620226342126,0.9344371309500691,solve,1.0,fixed_z_width_path,9600.0,100.0
4,1.6370893722128397e-08,8.656606967317584e-12,2508.620232518892,0.9344371311766239,solve,0.5,fixed_z_width_path,9600.0,100.0
5,1.0341725371534617e-08,2.732675636604817e-12,2508.6211302384972,0.9344371651950536,solve,0.25,fixed_z_width_path,9600.0,100.0
0,64.04541403865647,0.1018770743720882,2510.589566384702,0.9401045352305042,solve,1.0,fixed_z_width_path,9600.0,75.0
1,2.002013425819904,0.003517310415987405,2357.1809575404072,0.9394954511783825,solve,1.0,fixed_z_width_path,9600.0,75.0
2,0.002350225903249008,4.148880449017888e-06,2352.1862088186413,0.9394711089708335,solve,1.0,fixed_z_width_path,9600.0,75.0
3,1.015234272150871e-07,1.154297440839722e-10,2352.1799513096857,0.9394710406666067,solve,1.0,fixed_z_width_path,9600.0,75.0
0,69.53385727138351,0.1105952190265394,2355.9251603419025,0.9452920152141512,solve,1.0,fixed_z_width_path,9600.0,50.0
1,2.343139371706444,0.004146136573683014,2200.8886451080566,0.9446486422520112,solve,1.0,fixed_z_width_path,9600.0,50.0
2,0.0032137180912136507,5.743575711367388e-06,2195.4371965728483,0.9446211491094173,solve,1.0,fixed_z_width_path,9600.0,50.0
3,5.3850622784407145e-08,6.646280674485723e-11,2195.4303512298957,0.9446211050816679,solve,1.0,fixed_z_width_path,9600.0,50.0
4,2.0375231238951842e-08,1.2149827552155229e-11,2195.43035119042,0.9446211050800958,solve,0.5,fixed_z_width_path,9600.0,50.0
5,1.3926852263310112e-08,8.303830411976553e-12,2195.4303506017304,0.9446211050646448,solve,0.5,fixed_z_width_path,9600.0,50.0
0,40.96104568712846,0.06720442763801092,2198.06496645034,0.9480314381274566,solve,1.0,fixed_z_width_path,9600.0,35.0
1,0.842915417980789,0.0014971572743143985,2109.3592472484643,0.9476509806425426,solve,1.0,fixed_z_width_path,9600.0,35.0
2,0.00041619818166601107,7.433119618529111e-07,2107.4830034391357,0.9476416721458664,solve,1.0,fixed_z_width_path,9600.0,35.0
3,5.782314907671768e-08,3.5496774476496e-11,2107.48216627628,0.9476416669190881,solve,0.5,fixed_z_width_path,9600.0,35.0
4,4.2795584871766416e-08,2.6289926153267355e-11,2107.48294814547,0.9476416973894036,solve,0.5,fixed_z_width_path,9600.0,35.0
5,3.161203601602538e-08,3.882174602155637e-11,2107.482174523543,0.9476416672584695,solve,1.0,fixed_z_width_path,9600.0,35.0
6,3.152555397755548e-08,3.87268980249118e-11,2107.482169210119,0.947641667043319,solve,1.0,fixed_z_width_path,9600.0,35.0
7,3.058326594940045e-08,1.878179625482456e-11,2107.481386458825,0.9476416365083279,solve,0.5,fixed_z_width_path,9600.0,35.0
