iteration,residual_norm,correction_norm,state_jacobian_condition,state_jacobian_min_singular_value,linear_solver,step_factor,experiment,z_W0_m,smooth_width_m
0,42.187361069685636,0.07019318478421212,6672.077413759592,0.787054319537692,solve,1.0,two_parameter_map,9950.0,300.0
1,0.9877037174217931,0.001572564856654793,6983.468165246451,0.7873651540691169,solve,1.0,two_parameter_map,9950.0,300.0
2,0.0005584179707959377,8.218632089564028e-07,6976.373630902116,0.7873571648597353,solve,1.0,two_parameter_map,9950.0,300.0
3,6.832789217094213e-08,1.4950751836763162e-11,6976.372245770414,0.7873571945348332,solve,0.5,two_parameter_map,9950.0,300.0
4,3.700002750799282e-08,8.13259553844504e-12,6976.369988450838,0.7873571594112744,solve,0.5,two_parameter_map,9950.0,300.0
5,2.0146772355073437e-08,4.410054727316936e-12,6976.369989996837,0.7873571594349033,solve,0.5,two_parameter_map,9950.0,300.0
0,105.69758569471546,0.1882905397419686,7256.508736067884,0.7540373439540473,solve,1.0,two_parameter_map,10000.0,300.0
1,6.84369807203333,0.010755914003789013,8203.673257202154,0.7548011726563856,solve,1.0,two_parameter_map,10000.0,300.0
2,0.026827330074797505,3.860784143527355e-05,8146.647181814028,0.7547519194512198,solve,1.0,two_parameter_map,10000.0,300.0
3,6.716908014887016e-07,5.611409448706264e-10,8146.449179933912,0.7547517246320428,solve,1.0,two_parameter_map,10000.0,300.0
4,2.4257983695643083e-07,9.525686685995872e-11,8146.446579314933,0.754751688773325,solve,1.0,two_parameter_map,10000.0,300.0
5,8.62145198170161e-08,1.6925952764503366e-11,8146.446579908605,0.7547516888173942,solve,0.5,two_parameter_map,10000.0,300.0
6,4.956546950123723e-08,4.864964788301662e-12,8146.449172092384,0.754751724570481,solve,0.25,two_parameter_map,10000.0,300.0
7,1.1458571736327237e-08,2.8154959953259546e-13,8146.449159545383,0.7547517244063717,solve,0.0625,two_parameter_map,10000.0,300.0
0,66.78686979651206,0.11449823401734158,8807.861546629427,0.7192947845454635,solve,1.0,two_parameter_map,9950.0,200.0
1,2.568643333480625,0.004100848762483153,9492.68217074085,0.7196460638719862,solve,1.0,two_parameter_map,9950.0,200.0
2,0.0038091428995028504,5.581779305376757e-06,9467.38101229153,0.7196309687893306,solve,1.0,two_parameter_map,9950.0,200.0
3,1.5751341213684694e-07,5.584439049177619e-11,9467.347120666645,0.719630940070731,solve,1.0,two_parameter_map,9950.0,200.0
0,165.22061445314708,0.3167233833075294,10339.308285862096,0.6559115378792189,solve,1.0,two_parameter_map,10000.0,200.0
1,18.549757647054218,0.02877059466774501,12728.9167667028,0.65662735475968,solve,1.0,two_parameter_map,10000.0,200.0
2,0.19829471375519275,0.00027797741839821576,12491.601494464823,0.6565491251997281,solve,1.0,two_parameter_map,10000.0,200.0
3,2.7365675410246784e-05,2.6144186346331707e-08,12489.35565812067,0.6565479490789475,solve,1.0,two_parameter_map,10000.0,200.0
4,4.218455462949708e-08,6.6800169816214595e-12,12489.355425032405,0.6565479485417354,solve,0.5,two_parameter_map,10000.0,200.0
5,2.2804422717937284e-08,3.6085542845556014e-12,12489.359036630633,0.6565479989841079,solve,0.5,two_parameter_map,10000.0,200.0
6,1.0911224648232405e-08,1.729946491668905e-12,12489.35903934288,0.6565479990155434,solve,0.5,two_parameter_map,10000.0,200.0
0,1.9952526987441312e-08,4.128354173764332e-12,9212.183671229228,0.7238196771931955,solve,0.5,two_parameter_map,9900.0,150.0
1,1.295618505786798e-08,1.3394981248518992e-12,9212.183689113132,0.7238196776130633,solve,0.25,two_parameter_map,9900.0,150.0
0,92.01876905056582,0.16267072396140453,11989.01138876824,0.6405173797126363,solve,1.0,two_parameter_map,9950.0,150.0
1,5.078136224575081,0.008099437709418511,13343.369344459024,0.6407616125486272,solve,1.0,two_parameter_map,9950.0,150.0
2,0.01508833952777621,2.1784756838058106e-05,13272.727896152997,0.6407445548654347,solve,1.0,two_parameter_map,9950.0,150.0
3,2.0344223942690984e-07,1.724888427222618e-10,13272.544144490717,0.6407445424333148,solve,1.0,two_parameter_map,9950.0,150.0
4,3.090218882535079e-08,5.102756127844207e-12,13272.540665818173,0.6407444788371796,solve,0.5,two_parameter_map,9950.0,150.0
5,1.7086650526667587e-08,2.824069747592546e-12,13272.540688644778,0.6407444791898479,solve,0.5,two_parameter_map,9950.0,150.0
0,223.92558756762693,0.46362130035951393,15547.554269247386,0.5444141885781695,solve,1.0,two_parameter_map,10000.0,150.0
1,38.312119226362086,0.05785023402252525,21122.9297003171,0.5446459950956788,solve,1.0,two_parameter_map,10000.0,150.0
2,0.8472813043428569,0.0011371419554557676,20332.76271470032,0.5445931323887273,solve,1.0,two_parameter_map,10000.0,150.0
3,0.0005052443731217557,4.3592750457731893e-07,20317.679514923166,0.544590868607912,solve,1.0,two_parameter_map,10000.0,150.0
4,1.2495793980456668e-07,1.6150360776665893e-11,20317.67900442258,0.544590922444604,solve,0.5,two_parameter_map,10000.0,150.0
5,6.46777037564369e-08,8.346930555775158e-12,20317.679004759462,0.5445909223865685,solve,0.5,two_parameter_map,10000.0,150.0
6,3.3291731368849114e-08,4.3054009486519504e-12,20317.678998632888,0.5445909223590858,solve,0.5,two_parameter_map,10000.0,150.0
7,1.4840387833192533e-08,1.917198006103154e-12,20317.679027121718,0.544590922659959,solve,0.5,two_parameter_map,10000.0,150.0
0,142.10341492680314,0.2671520818677423,23468.14265916832,0.47699031227128635,solve,1.0,two_parameter_map,9950.0,100.0
1,13.257099576213381,0.02086323479492632,28026.797230484604,0.4767673802832024,solve,1.0,two_parameter_map,9950.0,100.0
2,0.1060992943336048,0.00014513694672431708,27642.146319140502,0.4767739251103861,solve,1.0,two_parameter_map,9950.0,100.0
3,7.5556323248922764e-06,6.932448713286839e-09,27639.516197872483,0.4767739008239262,solve,1.0,two_parameter_map,9950.0,100.0
4,1.3412420100105395e-07,1.749230812471344e-11,27639.516096380936,0.47677390120181895,solve,0.5,two_parameter_map,9950.0,100.0
5,6.956201132459409e-08,9.075602135604936e-12,27639.516039021495,0.47677390051315954,solve,0.5,two_parameter_map,9950.0,100.0
6,3.149983228327069e-08,2.0536765383379523e-12,27639.516064936848,0.47677390081483617,solve,0.25,two_parameter_map,9950.0,100.0
0,333.35224490113296,0.8089809402421979,38763.29466078847,0.3385962871843826,solve,1.0,two_parameter_map,10000.0,100.0
1,112.68485814962926,0.15222184605983,66452.83954879125,0.3378977730929094,solve,1.0,two_parameter_map,10000.0,100.0
2,7.193848686643785,0.008227063757499925,60065.47166413198,0.3379466428542599,solve,1.0,two_parameter_map,10000.0,100.0
3,0.03457639830101976,2.2814662761363625e-05,59739.96914224448,0.3379467937808442,solve,1.0,two_parameter_map,10000.0,100.0
4,1.5865514961992679e-06,3.67224013101306e-10,59739.08347427251,0.3379467775601323,solve,1.0,two_parameter_map,10000.0,100.0
5,4.6425620815710985e-07,8.221006113950305e-11,59739.0834686839,0.33794677755609337,solve,1.0,two_parameter_map,10000.0,100.0
