label,point,ty,type,z_W0,z,u,w,m,stable_count_auto,critical_real_auto,critical_imag_auto,critical_real_python,critical_imag_python,max_abs_eig_diff_sorted,residual_norm_python,W_a0,rad_mult,H_a3,eta_override,drag_mult,Delta_z_W,eta_blend,phi,c_B,include_coriolis,reynolds_length_mode,sigma_S,R_zeta,sigma_plus_Rzeta,R,rad_R,driving_factor,m_dot,k,Re,S_i,eta,W_a,U_a,rho_a,vertical_force_residual,growth_balance_residual,fall_speed_slope_proxy,growth_mass_slope,reduced_det_proxy
1,1,9,EP,10000.0,10178.504072,-0.89252035945,0.0,1.0570071795e-09,3,0.000238933,0.0,0.00023893332438846036,0.0,3.215816403567828e-05,8.993519586403786e-09,0.6,1.0,0.61,1.0,1.0,300.0,0.0,2.0,2.044e-05,0.0,2.0,-0.00012260259829,-7.7693944682e-08,-0.00012268029223,0.0092226705878,0.0092226705878,1.012682993e-12,1.6355262233e-24,16.342632158,2.2752283177,1.0092226706,1.1,0.6,-0.89252035945,0.41458191481,-5.950795412e-13,1.012682993e-12,-5760709558.1,-5.1187599259e-06,-1.1387731381e-06
2,10,4,UZ/NPR,9619.999962,10178.504072,-0.89252035949,0.0,1.0570071795e-09,3,0.000238933,0.0,0.00023893332443029175,0.0,3.215816505530711e-05,8.340213154517228e-09,0.6,1.0,0.61,1.0,1.0,300.0,0.0,2.0,2.044e-05,0.0,2.0,-0.00012260259793,-7.7693944681e-08,-0.00012268029187,0.0092226705878,0.0092226705878,-1.6660284263e-13,-2.6907069624e-25,16.342632158,2.2752283176,1.0092226706,1.1,0.6,-0.89252035949,0.41458191481,3.5527136788e-15,-1.6660284263e-13,-5760709558.1,-5.1187599266e-06,-1.1387731348e-06
3,13,-4,UZ-,9500.000003,10178.504072,-0.8925203595,0.0,1.0570071795e-09,3,0.000238933,0.0,0.00023893332439926102,0.0,3.215816465029775e-05,8.176896509418632e-09,0.6,1.0,0.61,1.0,1.0,300.0,0.0,2.0,2.044e-05,0.0,2.0,-0.00012260259792,-7.7693944681e-08,-0.00012268029187,0.0092226705878,0.0092226705878,-4.8507031725e-13,-7.8340924994e-25,16.342632158,2.2752283176,1.0092226706,1.1,0.6,-0.8925203595,0.41458191481,0.0,-4.8507031725e-13,-5760709558.1,-5.1187599269e-06,-1.1387731348e-06
4,20,4,UZ/NPR,9149.999968,10178.504072,-0.89252035948,0.0,1.0570071795e-09,3,0.000238933,0.0,0.00023893332440804154,0.0,3.215816463963961e-05,8.503534014386644e-09,0.6,1.0,0.61,1.0,1.0,300.0,0.0,2.0,2.044e-05,0.0,2.0,-0.00012260259756,-7.7693944681e-08,-0.0001226802915,0.0092226705878,0.0092226705878,7.4591548216e-13,1.204685316e-24,16.342632158,2.2752283177,1.0092226706,1.1,0.6,-0.89252035948,0.41458191481,-1.7763568394e-15,7.4591548216e-13,-5760709558.1,-5.1187599261e-06,-1.1387731314e-06
5,23,-4,UZ-,9000.0,10178.504072,-0.8925203595,0.0,1.0570071795e-09,3,0.000238933,0.0,0.00023893332439926102,0.0,3.215816465029775e-05,8.176896509418632e-09,0.6,1.0,0.61,1.0,1.0,300.0,0.0,2.0,2.044e-05,0.0,2.0,-0.00012260259829,-7.7693944681e-08,-0.00012268029223,0.0092226705878,0.0092226705878,-6.9466654651e-13,-1.1219160992e-24,16.342632158,2.2752283176,1.0092226706,1.1,0.6,-0.8925203595,0.41458191481,-1.7763568394e-15,-6.9466654651e-13,-5760709558.1,-5.118759927e-06,-1.1387731382e-06
6,30,4,UZ/NPR,8649.999965,10178.504072,-0.89252035949,0.0,1.0570071795e-09,3,0.000238933,0.0,0.00023893332443029175,0.0,3.215816505530711e-05,8.340213154517228e-09,0.6,1.0,0.61,1.0,1.0,300.0,0.0,2.0,2.044e-05,0.0,2.0,-0.00012260259793,-7.7693944678e-08,-0.00012268029187,0.0092226705878,0.0092226705878,-2.4417620703e-13,-3.9435498814e-25,16.342632158,2.2752283176,1.0092226706,1.1,0.6,-0.89252035949,0.41458191481,-1.7763568394e-15,-2.4417620703e-13,-5760709558.1,-5.1187599267e-06,-1.1387731348e-06
7,33,-4,UZ-,8500.0,10178.504072,-0.89252035946,0.0,1.0570071795e-09,3,0.000238933,0.0,0.0002389333244286452,0.0,3.215816483148615e-05,8.83018744296823e-09,0.6,1.0,0.61,1.0,1.0,300.0,0.0,2.0,2.044e-05,0.0,2.0,-0.00012260259792,-7.7693944681e-08,-0.00012268029187,0.0092226705878,0.0092226705878,1.7494165838e-13,2.8253823931e-25,16.342632158,2.2752283177,1.0092226706,1.1,0.6,-0.89252035946,0.41458191481,1.7763568394e-15,1.7494165838e-13,-5760709558.1,-5.1187599264e-06,-1.1387731348e-06
8,40,4,UZ/NPR,8149.999965,10178.504072,-0.89252035947,0.0,1.0570071795e-09,3,0.000238933,0.0,0.0002389333244138435,0.0,3.215816463963961e-05,8.666858850753705e-09,0.6,1.0,0.61,1.0,1.0,300.0,0.0,2.0,2.044e-05,0.0,2.0,-0.00012260259756,-7.7693944677e-08,-0.0001226802915,0.0092226705878,0.0092226705878,5.7722923663e-13,9.322498352e-25,16.342632158,2.2752283177,1.0092226706,1.1,0.6,-0.89252035947,0.41458191481,0.0,5.7722923663e-13,-5760709558.1,-5.1187599261e-06,-1.1387731314e-06
9,50,4,UZ/NPR,7649.999915,10178.504072,-0.8925203595,0.0,1.0570071795e-09,3,0.000238933,0.0,0.00023893332439926102,0.0,3.215816465029775e-05,8.176896509418632e-09,0.6,1.0,0.61,1.0,1.0,300.0,0.0,2.0,2.044e-05,0.0,2.0,-0.00012260259792,-7.7693944681e-08,-0.00012268029187,0.0092226705878,0.0092226705878,-4.5284782868e-13,-7.3136855666e-25,16.342632158,2.2752283176,1.0092226706,1.1,0.6,-0.8925203595,0.41458191481,0.0,-4.5284782868e-13,-5760709558.1,-5.1187599268e-06,-1.1387731348e-06
10,60,4,UZ/NPR,7149.999865,10178.504072,-0.89252035947,0.0,1.0570071795e-09,3,0.000238933,0.0,0.0002389333244138435,0.0,3.215816463963961e-05,8.666858850753705e-09,0.6,1.0,0.61,1.0,1.0,300.0,0.0,2.0,2.044e-05,0.0,2.0,-0.00012260259829,-7.769394468e-08,-0.00012268029223,0.0092226705878,0.0092226705878,3.2162987551e-13,5.1944596602e-25,16.342632158,2.2752283177,1.0092226706,1.1,0.6,-0.89252035947,0.41458191481,-1.7763568394e-15,3.2162987551e-13,-5760709558.1,-5.1187599263e-06,-1.1387731382e-06
